band,fID,obsHistID
z,778,1472
z,872,1473
z,766,1474
z,778,1500
z,872,1501
z,766,1502
z,778,2166
z,872,2167
z,766,2168
z,748,2181
z,849,2182
z,837,2183
z,839,2184
z,746,2188
z,778,2205
z,872,2206
z,766,2208
u,1419,2249
u,1486,2278
u,1036,2330
u,1034,2331
u,1133,2332
u,1046,2333
u,1050,2334
u,1144,2335
u,1070,2336
u,1082,2337
u,1165,2338
u,1178,2339
u,1188,2340
u,1269,2341
u,1277,2342
u,1297,2343
u,1257,2344
u,1245,2345
u,1243,2346
u,1154,2347
u,975,2348
u,963,2349
u,1476,3026
u,1361,3029
u,1375,3030
u,1386,3031
u,1401,3032
u,947,3033
u,871,3034
u,746,3040
u,839,3041
u,1350,3114
u,931,3116
u,933,3117
u,849,3118
u,837,3119
u,748,3120
z,1350,4321
z,1361,4322
z,1375,4323
z,1386,4324
z,1486,4325
z,1350,4351
z,1361,4352
z,1375,4353
z,1386,4354
z,1486,4355
z,1476,4356
z,1470,4357
y,839,5763
y,837,5764
y,947,5765
y,1070,5766
y,1188,5767
y,963,5768
y,871,5769
y,766,5770
y,1243,5863
y,1142,5871
y,1133,5874
y,1036,5875
y,931,5877
y,1034,5878
y,933,5879
y,1144,5880
y,1046,5881
y,1050,5882
y,1154,5883
y,1082,5884
y,1165,5885
y,1178,5886
y,1257,5887
y,1269,5888
y,1277,5889
y,1297,5890
y,975,5891
y,1516,5895
y,1401,5897
y,1419,5898
y,939,6476
y,931,6477
y,933,6478
y,1050,6479
y,1178,6480
y,1046,6481
y,1034,6482
y,1036,6483
y,1133,6508
y,1144,6509
y,1154,6510
y,1165,6511
y,947,6512
y,849,6513
y,1245,6797
i,1245,6822
i,1257,6823
i,1269,6824
i,1277,6825
i,1297,6826
i,1419,6827
i,1488,6830
i,1245,6852
i,1257,6853
i,1269,6854
i,1277,6855
i,1488,6856
y,1486,7231
y,1476,7234
y,1375,7235
y,1470,7236
y,1350,7248
y,1361,7249
y,778,7371
y,872,7372
z,748,7906
z,849,7907
z,947,7908
z,837,7909
z,746,7910
z,839,7916
z,754,7917
z,933,7918
z,1050,7919
z,931,7920
z,748,7940
z,849,7942
z,947,7943
z,837,7944
z,933,7945
z,746,7946
z,839,7955
z,931,7975
z,1050,7976
z,963,7977
z,871,7978
z,1154,7979
z,1133,7991
z,1036,7992
z,1034,7993
z,1144,7994
z,1046,7995
z,975,7996
z,1070,7997
z,1082,7998
z,1165,7999
z,1154,8000
z,963,8001
z,871,8002
z,1178,8003
z,1188,8004
z,1269,8005
z,1277,8006
z,1297,8007
z,1257,8008
z,1522,8025
z,1401,8026
z,1419,8027
z,1165,8028
z,1082,8029
z,1070,8030
z,975,8031
z,1046,8032
z,1036,8034
z,1034,8042
z,1133,8043
z,1144,8044
z,1178,8045
z,1188,8046
z,1269,8047
z,1277,8048
z,1297,8049
z,1257,8050
z,1401,8068
z,1419,8069
z,1488,8763
z,1245,8764
z,1243,8765
z,1488,8806
z,1245,8807
z,1243,8808
y,872,10818
y,778,10819
y,688,10842
y,778,10843
y,872,10852
y,698,10853
y,778,10854
y,688,10871
y,871,10873
y,947,10874
y,766,10875
y,746,10897
y,1133,11613
y,1386,12343
y,1476,12365
y,1361,12380
y,1375,12444
y,1386,12445
y,1401,12446
y,1419,12447
y,1297,12448
y,1277,12449
y,1269,12450
y,1257,12451
y,1245,12452
y,1165,12453
y,1178,12454
y,1188,12455
y,1297,12456
y,1419,12457
y,1401,12458
y,1386,12459
y,1375,12460
y,1361,12461
y,1350,12462
y,1154,12464
y,1070,12465
y,1082,12466
y,1050,12467
y,1144,12468
y,1046,12469
y,963,12470
y,975,12471
y,871,12472
y,933,12473
y,849,12474
y,766,12475
y,837,12476
y,931,12477
y,1036,12478
y,1034,12479
y,963,12480
y,975,12481
y,1070,12482
y,1082,12483
y,1188,12484
z,1386,13171
z,1401,13172
z,1375,13173
z,1386,13213
z,1401,13214
z,1375,13215
z,1361,13216
z,1350,13217
z,1350,13262
z,1361,13263
z,1486,13267
z,1488,13268
z,1419,13271
z,1277,13272
z,1269,13273
z,1257,13274
z,1178,13275
z,1188,13276
z,1165,13277
z,1154,13278
z,1144,13279
z,1133,13280
z,1036,13283
z,1034,13284
z,1046,13285
z,1050,13286
z,1070,13287
z,1082,13288
z,975,13289
z,963,13290
z,947,13291
z,1476,13315
z,1486,13316
z,1522,13319
z,1419,13320
z,1277,13321
z,1269,13322
z,1257,13323
z,1144,13326
z,1154,13327
z,1165,13328
z,1178,13329
z,1188,13330
z,1082,13331
z,1070,13332
z,1050,13333
z,1133,13334
z,1142,13335
z,1034,13337
z,1036,13338
z,1046,13339
z,963,13340
z,947,13341
z,975,13342
z,871,13343
z,933,13344
z,931,13345
z,939,13405
z,931,13406
z,933,13407
