obsHistID expMJD
250 59580.149254
251 59580.149671
252 59580.150088
253 59580.150504
254 59580.150921
255 59580.151338
256 59580.151754
257 59580.152171
258 59580.152588
259 59580.153004
185615 59825.265743
185616 59825.266159
185617 59825.266576
185618 59825.266993
185619 59825.267409
185620 59825.267826
185621 59825.268243
185622 59825.268659
185623 59825.269076
185624 59825.269493
192915 59839.221783
192916 59839.2222
192917 59839.222617
192918 59839.223033
192919 59839.22345
192920 59839.223867
192921 59839.224283
192922 59839.2247
192923 59839.225117
192924 59839.225533
195549 59842.204511
195550 59842.204928
195551 59842.205345
195552 59842.205761
195553 59842.206178
195554 59842.206595
195555 59842.207011
195556 59842.207428
195557 59842.207845
195558 59842.208261
202460 59854.214662
202461 59854.215079
202462 59854.215495
202463 59854.215912
202464 59854.216329
202465 59854.216745
202466 59854.217162
202467 59854.217579
202468 59854.217995
202469 59854.218412
204407 59857.193693
204408 59857.19411
204409 59857.194526
204410 59857.194943
204411 59857.19536
204412 59857.195776
204413 59857.196193
204414 59857.19661
204415 59857.197026
204416 59857.197443
211970 59867.165757
211971 59867.166173
211972 59867.16659
211973 59867.167007
211974 59867.167423
211975 59867.16784
211976 59867.168257
211977 59867.168673
211978 59867.16909
211979 59867.169507
214335 59870.157806
214336 59870.158222
214337 59870.158639
214338 59870.159056
214339 59870.159472
214340 59870.159889
214341 59870.160306
214342 59870.160722
214343 59870.161139
214344 59870.161556
216768 59873.149984
216769 59873.150401
216770 59873.150818
216771 59873.151234
216772 59873.151651
216773 59873.152068
216774 59873.152484
216775 59873.152901
216776 59873.153318
216777 59873.153734
225477 59884.134926
225478 59884.135343
225479 59884.135759
225480 59884.136176
225481 59884.136593
225482 59884.137009
225483 59884.137426
225484 59884.137843
225485 59884.138259
225486 59884.138676
227735 59887.10084
227736 59887.101256
227737 59887.101673
227738 59887.10209
227739 59887.102506
227740 59887.102923
227741 59887.10334
227742 59887.103756
227743 59887.104173
227744 59887.10459
229223 59896.089666
229224 59896.090083
229225 59896.090499
229226 59896.090916
229227 59896.091333
229228 59896.091749
229229 59896.092166
229230 59896.092583
229231 59896.092999
229232 59896.093416
231432 59899.091173
231433 59899.09159
231434 59899.092007
231435 59899.092423
231436 59899.09284
231437 59899.093257
231438 59899.093673
231439 59899.09409
231440 59899.094507
231441 59899.094923
233531 59902.050274
233532 59902.05069
233533 59902.051107
233534 59902.051524
233535 59902.05194
233536 59902.052357
233537 59902.052774
233538 59902.05319
233539 59902.053607
233540 59902.054024
242005 59913.250369
242006 59913.250786
242007 59913.251203
242008 59913.251619
242009 59913.252036
242010 59913.252453
242011 59913.252869
242012 59913.253286
242013 59913.253703
242014 59913.254119
243740 59916.060168
243741 59916.060584
243742 59916.061001
243743 59916.061418
243744 59916.061834
243745 59916.062251
243746 59916.062668
243747 59916.063084
243748 59916.063501
243749 59916.063918
249464 59924.064659
249465 59924.065076
249466 59924.065493
249467 59924.065909
249468 59924.066326
249469 59924.066743
249470 59924.067159
249471 59924.067576
249472 59924.067993
249473 59924.068409
250884 59927.06612
250885 59927.066536
250886 59927.066953
250887 59927.06737
250888 59927.067786
250889 59927.068203
250890 59927.06862
250891 59927.069036
250892 59927.069453
250893 59927.06987
252951 59930.067664
252952 59930.068081
252953 59930.068498
252954 59930.068914
252955 59930.069331
252956 59930.069748
252957 59930.070164
252958 59930.070581
252959 59930.070998
252960 59930.071414
254934 59933.068991
254935 59933.069408
254936 59933.069825
254937 59933.070241
254938 59933.070658
254939 59933.071075
254940 59933.071491
254941 59933.071908
254942 59933.072325
254943 59933.072741
260454 59942.086984
260455 59942.087401
260456 59942.087818
260457 59942.088234
260458 59942.088651
260459 59942.089068
260460 59942.089484
260461 59942.089901
260462 59942.090318
260463 59942.090734
262547 59945.082709
262548 59945.083126
262549 59945.083542
262550 59945.083959
262551 59945.084376
262552 59945.084792
262553 59945.085209
262554 59945.085626
262555 59945.086042
262556 59945.086459
427540 60192.298721
427541 60192.299137
427542 60192.299554
427543 60192.299971
427544 60192.300387
427545 60192.300804
427546 60192.301221
427547 60192.301637
427548 60192.302054
427549 60192.302471
429152 60195.24006
429153 60195.240477
429154 60195.240893
429155 60195.24131
429156 60195.241727
429157 60195.242143
429158 60195.24256
429159 60195.242977
429160 60195.243393
429161 60195.24381
439140 60209.23386
439141 60209.234276
439142 60209.234693
439143 60209.23511
439144 60209.235526
439145 60209.235943
439146 60209.23636
439147 60209.236776
439148 60209.237193
439149 60209.23761
441815 60212.22046
441816 60212.220877
441817 60212.221293
441818 60212.22171
441819 60212.222127
441820 60212.222543
441821 60212.22296
441822 60212.223377
441823 60212.223793
441824 60212.22421
447546 60223.20055
447547 60223.200967
447548 60223.201384
447549 60223.2018
447550 60223.202217
447551 60223.202634
447552 60223.20305
447553 60223.203467
447554 60223.203884
447555 60223.2043
449256 60226.277815
449257 60226.278232
449258 60226.278649
449259 60226.279065
449260 60226.279482
449261 60226.279899
449262 60226.280315
449263 60226.280732
449264 60226.281149
449265 60226.281565
455357 60238.278386
455358 60238.278803
455359 60238.27922
455360 60238.279636
455361 60238.280053
455362 60238.28047
455363 60238.280886
455364 60238.281303
455365 60238.28172
455366 60238.282136
457521 60241.139969
457522 60241.140386
457523 60241.140802
457524 60241.141219
457525 60241.141636
457526 60241.142052
457527 60241.142469
457528 60241.142886
457529 60241.143302
457530 60241.143719
470418 60267.050046
470419 60267.050463
470420 60267.05088
470421 60267.051296
470422 60267.051713
470423 60267.05213
470424 60267.052546
470425 60267.052963
470426 60267.05338
470427 60267.053796
472764 60270.113932
472765 60270.114349
472766 60270.114766
472767 60270.115182
472768 60270.115599
472769 60270.116016
472770 60270.116432
472771 60270.116849
472772 60270.117266
472773 60270.117682
478571 60278.058192
478572 60278.058609
478573 60278.059026
478574 60278.059442
478575 60278.059859
478576 60278.060276
478577 60278.060692
478578 60278.061109
478579 60278.061526
478580 60278.061942
480703 60281.06097
480704 60281.061386
480705 60281.061803
480706 60281.06222
480707 60281.062636
