obsHistID expMJD
230 59580.139555
231 59580.139972
232 59580.140389
233 59580.140805
234 59580.141222
235 59580.141639
236 59580.142055
237 59580.142472
238 59580.142889
239 59580.143305
240 59580.143722
241 59580.144139
242 59580.144555
243 59580.144972
244 59580.145389
245 59580.145805
246 59580.146222
247 59580.146639
248 59580.147055
249 59580.147472
185596 59825.25646
185597 59825.256877
185598 59825.257294
185599 59825.25771
185600 59825.258127
185601 59825.258544
185602 59825.25896
185603 59825.259377
185604 59825.259794
185605 59825.26021
185606 59825.260627
185607 59825.261044
185608 59825.26146
185609 59825.261877
185610 59825.262294
185611 59825.26271
185612 59825.263127
185613 59825.263544
185614 59825.26396
192896 59839.212501
192897 59839.212918
192898 59839.213334
192899 59839.213751
192900 59839.214168
192901 59839.214584
192902 59839.215001
192903 59839.215418
192904 59839.215834
192905 59839.216251
192906 59839.216668
192907 59839.217084
192908 59839.217501
192909 59839.217918
192910 59839.218334
192911 59839.218751
192912 59839.219168
192913 59839.219584
192914 59839.220001
195530 59842.195125
195531 59842.195553
195532 59842.195981
195533 59842.196409
195534 59842.196838
195535 59842.197266
195536 59842.197694
195537 59842.198122
195538 59842.198551
195539 59842.198979
195540 59842.199396
195541 59842.199812
195542 59842.200229
195543 59842.200646
195544 59842.201062
195545 59842.201479
195546 59842.201896
195547 59842.202312
195548 59842.202729
202440 59854.204963
202441 59854.20538
202442 59854.205796
202443 59854.206213
202444 59854.20663
202445 59854.207046
202446 59854.207463
202447 59854.20788
202448 59854.208296
202449 59854.208713
202450 59854.20913
202451 59854.209546
202452 59854.209963
202453 59854.21038
202454 59854.210796
202455 59854.211213
202456 59854.21163
202457 59854.212046
202458 59854.212463
202459 59854.21288
204387 59857.183994
204388 59857.18441
204389 59857.184827
204390 59857.185244
204391 59857.18566
204392 59857.186077
204393 59857.186494
204394 59857.18691
204395 59857.187327
204396 59857.187744
204397 59857.18816
204398 59857.188577
204399 59857.188994
204400 59857.18941
204401 59857.189827
204402 59857.190244
204403 59857.19066
204404 59857.191077
204405 59857.191494
204406 59857.19191
211950 59867.156058
211951 59867.156474
211952 59867.156891
211953 59867.157308
211954 59867.157724
211955 59867.158141
211956 59867.158558
211957 59867.158974
211958 59867.159391
211959 59867.159808
211960 59867.160224
211961 59867.160641
211962 59867.161058
211963 59867.161474
211964 59867.161891
211965 59867.162308
211966 59867.162724
211967 59867.163141
211968 59867.163558
211969 59867.163974
214315 59870.148107
214316 59870.148523
214317 59870.14894
214318 59870.149357
214319 59870.149773
214320 59870.15019
214321 59870.150607
214322 59870.151023
214323 59870.15144
214324 59870.151857
214325 59870.152273
214326 59870.15269
214327 59870.153107
214328 59870.153523
214329 59870.15394
214330 59870.154357
214331 59870.154773
214332 59870.15519
214333 59870.155607
214334 59870.156023
216748 59873.140285
216749 59873.140702
216750 59873.141118
216751 59873.141535
216752 59873.141952
216753 59873.142368
216754 59873.142785
216755 59873.143202
216756 59873.143618
216757 59873.144035
216758 59873.144452
216759 59873.144868
216760 59873.145285
216761 59873.145702
216762 59873.146118
216763 59873.146535
216764 59873.146952
216765 59873.147368
216766 59873.147785
216767 59873.148202
225457 59884.125227
225458 59884.125644
225459 59884.12606
225460 59884.126477
225461 59884.126894
225462 59884.12731
225463 59884.127727
225464 59884.128144
225465 59884.12856
225466 59884.128977
225467 59884.129394
225468 59884.12981
225469 59884.130227
225470 59884.130644
225471 59884.13106
225472 59884.131477
225473 59884.131894
225474 59884.13231
225475 59884.132727
225476 59884.133144
227715 59887.091141
227716 59887.091557
227717 59887.091974
227718 59887.092391
227719 59887.092807
227720 59887.093224
227721 59887.093641
227722 59887.094057
227723 59887.094474
227724 59887.094891
227725 59887.095307
227726 59887.095724
227727 59887.096141
227728 59887.096557
227729 59887.096974
