obsHistID expMJD
2249 59583.080873
2278 59583.094378
2330 59583.118645
2331 59583.119208
2332 59583.11966
2333 59583.120136
2334 59583.120616
2335 59583.121073
2336 59583.121539
2337 59583.121987
2338 59583.122443
2339 59583.122892
2340 59583.123341
2341 59583.123806
2342 59583.124255
2343 59583.124704
2344 59583.125176
2345 59583.125625
2346 59583.126096
2347 59583.126563
2348 59583.127056
2349 59583.127508
3026 59584.107682
3029 59584.109292
3030 59584.109764
3031 59584.110213
3032 59584.110662
3033 59584.111536
3034 59584.111986
3040 59584.114753
3041 59584.115203
3114 59584.148932
3116 59584.150098
3117 59584.15055
3118 59584.151004
3119 59584.151455
3120 59584.151904
178942 59818.250265
179080 59818.311603
179238 59818.386577
179239 59818.38703
179240 59818.387486
179254 59818.394299
179966 59819.274855
179970 59819.276664
179971 59819.277111
179972 59819.277562
179973 59819.278019
179996 59819.288391
179997 59819.288844
179998 59819.289296
179999 59819.289742
180000 59819.290189
180001 59819.290637
180002 59819.291083
180003 59819.291532
180004 59819.291978
180005 59819.292429
180006 59819.292931
180007 59819.29339
180008 59819.293839
180009 59819.294286
180011 59819.295212
180012 59819.295661
180013 59819.296138
180014 59819.296589
180015 59819.297041
180067 59819.322055
180068 59819.322643
180073 59819.325579
180879 59820.258259
180890 59820.263233
180891 59820.26368
180892 59820.26413
200705 59851.196667
200725 59851.205001
200735 59851.209488
200736 59851.209934
200737 59851.210381
200738 59851.210829
200739 59851.211277
200740 59851.211725
200741 59851.212175
200746 59851.214442
200747 59851.214891
200748 59851.215339
200749 59851.215808
200750 59851.216254
200751 59851.216703
200752 59851.217149
200753 59851.217595
200754 59851.218043
200810 59851.243712
200811 59851.244175
200812 59851.244649
200813 59851.245107
200814 59851.245566
200815 59851.246015
200816 59851.246464
200819 59851.247807
200823 59851.249593
200824 59851.25004
200825 59851.250489
200826 59851.250939
200891 59851.280399
200906 59851.287128
200907 59851.287585
200908 59851.288051
200909 59851.288499
200931 59851.298421
200932 59851.29887
200933 59851.299352
200934 59851.299801
200935 59851.300262
200936 59851.300749
200937 59851.301489
200938 59851.301945
200939 59851.302393
200942 59851.303812
200943 59851.304261
217577 59874.157263
217597 59874.165627
217617 59874.174673
217618 59874.175121
217619 59874.175568
217620 59874.176016
217621 59874.176463
217622 59874.176911
217623 59874.177357
217624 59874.177803
217625 59874.178252
217657 59874.192824
217673 59874.200091
217674 59874.20054
217675 59874.200989
217676 59874.201438
217677 59874.201887
217678 59874.202336
217679 59874.202791
217680 59874.203239
217681 59874.203695
217682 59874.204143
217683 59874.204592
217710 59874.216781
217719 59874.220857
217720 59874.221306
217721 59874.221754
217722 59874.22221
217723 59874.222658
217724 59874.223107
217725 59874.223555
218324 59875.121901
218325 59875.122402
218326 59875.122851
218327 59875.123298
218464 59875.190682
219141 59876.132349
219142 59876.132801
219143 59876.133279
219144 59876.13373
219916 59877.122191
219917 59877.122643
221436 59879.116798
221438 59879.117704
