obsHistID expMJD
2229 59583.072495
2230 59583.072912
2231 59583.073329
2232 59583.073745
2233 59583.074162
2234 59583.074579
2235 59583.074995
2236 59583.075412
2237 59583.075829
2238 59583.076245
2239 59583.076662
2240 59583.077079
2241 59583.077495
2242 59583.077912
2243 59583.078329
2244 59583.078745
2245 59583.079162
2246 59583.079579
2247 59583.079995
2248 59583.080412
2928 59584.06307
2929 59584.063487
2930 59584.063903
2931 59584.06432
2932 59584.064737
2933 59584.065153
2934 59584.06557
2935 59584.065987
2936 59584.066403
2937 59584.06682
2938 59584.067237
2939 59584.067653
2940 59584.06807
2941 59584.068487
2942 59584.068903
2943 59584.06932
2944 59584.069737
2945 59584.070153
2946 59584.07057
2947 59584.070987
3647 59585.062783
3648 59585.063199
3649 59585.063616
3650 59585.064033
3651 59585.064449
3652 59585.064866
3653 59585.065283
3654 59585.065699
3655 59585.066116
3656 59585.066533
3657 59585.066949
3658 59585.067366
3659 59585.067783
3660 59585.068199
3661 59585.068616
3662 59585.069033
3663 59585.069449
3664 59585.069866
3665 59585.070283
3666 59585.070699
4564 59586.151695
4565 59586.152112
4566 59586.152528
4567 59586.152945
4568 59586.153362
4569 59586.153778
4570 59586.154195
4571 59586.154612
4572 59586.155028
4573 59586.155445
4574 59586.155862
4575 59586.156278
4576 59586.156695
4577 59586.157112
4578 59586.157528
4579 59586.157945
4580 59586.158362
4581 59586.158778
4582 59586.159195
4583 59586.159612
200706 59851.197084
200707 59851.197501
200708 59851.197917
200709 59851.198334
200710 59851.198751
200711 59851.199167
200712 59851.199584
200713 59851.200001
200714 59851.200417
200715 59851.200834
200716 59851.201251
200717 59851.201667
200718 59851.202084
200719 59851.202501
200720 59851.202917
200721 59851.203334
200722 59851.203751
200723 59851.204167
200724 59851.204584
217578 59874.15768
217579 59874.158097
217580 59874.158513
217581 59874.15893
217582 59874.159347
217583 59874.159763
217584 59874.16018
217585 59874.160597
217586 59874.161013
217587 59874.16143
217588 59874.161847
217589 59874.162263
217590 59874.16268
217591 59874.163097
217592 59874.163513
217593 59874.16393
217594 59874.164347
217595 59874.164763
217596 59874.16518
218304 59875.113536
218305 59875.113953
218306 59875.11437
218307 59875.114786
218308 59875.115203
218309 59875.11562
218310 59875.116036
218311 59875.116453
218312 59875.11687
218313 59875.117286
218314 59875.117703
218315 59875.11812
218316 59875.118536
218317 59875.118953
218318 59875.11937
218319 59875.119786
218320 59875.120203
218321 59875.12062
218322 59875.121036
218323 59875.121453
219098 59876.112061
219099 59876.112478
219100 59876.112895
219101 59876.113311
219102 59876.113728
219103 59876.114145
219104 59876.114561
219105 59876.114978
219106 59876.115395
219107 59876.115811
219108 59876.116228
219109 59876.116645
219110 59876.117061
219111 59876.117478
219112 59876.117895
219113 59876.118311
219114 59876.118728
219115 59876.119145
219116 59876.119561
219117 59876.119978
219896 59877.113809
219897 59877.114225
219898 59877.114642
219899 59877.115059
219900 59877.115475
219901 59877.115892
219902 59877.116309
219903 59877.116725
219904 59877.117142
219905 59877.117559
219906 59877.117975
219907 59877.118392
219908 59877.118809
219909 59877.119225
219910 59877.119642
219911 59877.120059
219912 59877.120475
219913 59877.120892
219914 59877.121309
219915 59877.121725
220633 59878.108762
220634 59878.109179
220635 59878.109595
220636 59878.110012
220637 59878.110429
220638 59878.110845
220639 59878.111262
220640 59878.111679
220641 59878.112095
220642 59878.112512
220643 59878.112929
220644 59878.113345
220645 59878.113762
220646 59878.114179
220647 59878.114595
220648 59878.115012
220649 59878.115429
220650 59878.115845
220651 59878.116262
220652 59878.116679
221413 59879.106408
221414 59879.106825
221415 59879.107242
221416 59879.107658
221417 59879.108075
221418 59879.108492
221419 59879.108908
221420 59879.109325
221421 59879.109742
221422 59879.110158
221423 59879.110575
221424 59879.110992
221425 59879.111408
221426 59879.111825
221427 59879.112242
221428 59879.112658
221429 59879.113075
221430 59879.113492
221431 59879.113908
221432 59879.114325
222221 59880.114145
222222 59880.114562
222223 59880.114979
222224 59880.115395
222225 59880.115812
222226 59880.116229
222227 59880.116645
222228 59880.117062
222229 59880.117479
222230 59880.117895
222231 59880.118312
222232 59880.118729
222233 59880.119145
222234 59880.119562
222235 59880.119979
222236 59880.120395
222237 59880.120812
222238 59880.121229
222239 59880.121645
222240 59880.122062
235014 59904.054881
235015 59904.055298
235016 59904.055715
235017 59904.056131
235018 59904.056548
235019 59904.056965
235020 59904.057381
235021 59904.057798
235022 59904.058215
235023 59904.058631
235024 59904.059048
235025 59904.059465
235026 59904.059881
235027 59904.060298
235028 59904.060715
235029 59904.061131
235030 59904.061548
235031 59904.061965
235032 59904.062381
235738 59905.042832
235739 59905.043248
235740 59905.043665
235741 59905.044082
235742 59905.044498
235743 59905.044915
235744 59905.045332
235745 59905.045748
235746 59905.046165
235747 59905.046582
235748 59905.046998
235749 59905.047415
235750 59905.047832
235751 59905.048248
235752 59905.048665
235753 59905.049082
235754 59905.049498
235755 59905.049915
235756 59905.050332
235757 59905.050748
236472 59906.043492
236473 59906.043909
236474 59906.044325
236475 59906.044742
236476 59906.045159
236477 59906.045575
236478 59906.045992
236479 59906.046409
236480 59906.046825
236481 59906.047242
236482 59906.047659
236483 59906.048075
236484 59906.048492
236485 59906.048909
236486 59906.049325
236487 59906.049742
236488 59906.050159
236489 59906.050575
236490 59906.050992
236491 59906.051409
237176 59907.04403
237177 59907.044447
237178 59907.044863
237179 59907.04528
237180 59907.045697
237181 59907.046113
237182 59907.04653
237183 59907.046947
237184 59907.047363
237185 59907.04778
237186 59907.048197
237187 59907.048613
237188 59907.04903
237189 59907.049447
237190 59907.049863
237191 59907.05028
237192 59907.050697
237193 59907.051113
237194 59907.05153
237195 59907.051947
237908 59908.044759
237909 59908.045176
237910 59908.045592
237911 59908.046009
237912 59908.046426
237913 59908.046842
