obsHistID expMJD
1472 59582.041219
1473 59582.041668
1474 59582.042124
1500 59582.053813
1501 59582.054262
1502 59582.054726
2166 59583.040407
2167 59583.040856
2168 59583.041312
2181 59583.047145
2182 59583.047594
2183 59583.048048
2184 59583.048496
2188 59583.050287
2205 59583.058092
2206 59583.058541
2208 59583.059467
4321 59586.037323
4322 59586.037771
4323 59586.03822
4324 59586.038669
4325 59586.039126
4351 59586.050784
4352 59586.051232
4353 59586.051681
4354 59586.052144
4355 59586.052602
4356 59586.053058
4357 59586.053506
7906 59591.036666
7907 59591.037115
7908 59591.037565
7909 59591.038021
7910 59591.038471
7916 59591.041171
7917 59591.04162
7918 59591.042089
7919 59591.042545
7920 59591.043037
7940 59591.052345
7942 59591.053255
7943 59591.053705
7944 59591.054201
7945 59591.05465
7946 59591.05511
7955 59591.059597
7975 59591.068916
7976 59591.069662
7977 59591.070112
7978 59591.070605
7979 59591.071078
7991 59591.07743
7992 59591.07788
7993 59591.078453
7994 59591.078973
7995 59591.079454
7996 59591.080075
7997 59591.080527
7998 59591.081006
7999 59591.081463
8000 59591.081989
8001 59591.082476
8002 59591.082979
8003 59591.083712
8004 59591.084162
8005 59591.084628
8006 59591.085077
8007 59591.085526
8008 59591.086047
8025 59591.094303
8026 59591.094795
8027 59591.095244
8028 59591.095858
8029 59591.096314
8030 59591.096764
8031 59591.097225
8032 59591.09771
8034 59591.09888
8042 59591.103754
8043 59591.104234
8044 59591.10473
8045 59591.105238
8046 59591.105687
8047 59591.106152
8048 59591.106601
8049 59591.10705
8050 59591.107522
8068 59591.116061
8069 59591.11651
8763 59592.103444
8764 59592.104075
8765 59592.10453
8806 59592.125684
8807 59592.126229
8808 59592.126678
13171 59598.063809
13172 59598.064257
13173 59598.064737
13213 59598.083861
13214 59598.08431
13215 59598.084768
13216 59598.085217
13217 59598.08567
13262 59598.107328
13263 59598.107776
13267 59598.109602
13268 59598.110051
13271 59598.111414
13272 59598.111879
13273 59598.112328
13274 59598.112777
13275 59598.113241
13276 59598.11369
13277 59598.114148
13278 59598.114597
13279 59598.115046
13280 59598.115495
13283 59598.116851
13284 59598.117299
13285 59598.117748
13286 59598.118197
13287 59598.118645
13288 59598.119094
13289 59598.119558
13290 59598.120007
13291 59598.120455
13315 59598.133011
13316 59598.133459
13319 59598.134806
13320 59598.135262
13321 59598.135716
13322 59598.136165
13323 59598.136614
13326 59598.138107
13327 59598.138556
13328 59598.139005
13329 59598.139454
13330 59598.139903
13331 59598.140357
13332 59598.140806
13333 59598.141255
13334 59598.14172
13335 59598.142169
13337 59598.143083
13338 59598.143532
13339 59598.14399
13340 59598.144445
13341 59598.144894
13342 59598.145352
13343 59598.145817
13344 59598.146273
13345 59598.146722
13405 59598.175327
13406 59598.175776
13407 59598.176225
13408 59598.17668
13847 59599.035282
13876 59599.048398
13877 59599.048848
32061 59623.135222
32062 59623.135671
32101 59623.153855
32630 59624.019083
32631 59624.019532
32632 59624.019981
32633 59624.020446
32634 59624.020895
32635 59624.021344
32636 59624.021792
32637 59624.022241
32638 59624.022697
32639 59624.023145
32640 59624.023594
32641 59624.024072
32642 59624.02452
32643 59624.024971
32644 59624.025421
32645 59624.025871
32648 59624.027223
32649 59624.027672
32650 59624.028122
32651 59624.028622
32652 59624.029071
32664 59624.034483
32670 59624.037696
32671 59624.038144
32672 59624.0386
32673 59624.039049
32674 59624.039507
32675 59624.039956
32676 59624.040405
32677 59624.040866
32678 59624.041315
32679 59624.041773
32680 59624.042282
32681 59624.042749
32682 59624.043198
32683 59624.043649
32684 59624.044097
32685 59624.044545
32686 59624.044994
32687 59624.045442
32691 59624.047235
32692 59624.047684
32693 59624.048168
32705 59624.053678
35128 59627.01839
35129 59627.018847
35131 59627.01977
35132 59627.020285
35134 59627.02121
35135 59627.021698
35166 59627.037381
35167 59627.037838
35171 59627.039661
35172 59627.040172
35173 59627.040626
46273 59641.005809
46274 59641.006258
46275 59641.006707
46276 59641.007156
46277 59641.007605
46278 59641.008062
46279 59641.008511
46280 59641.00896
46281 59641.009409
46282 59641.009858
46283 59641.010307
46289 59641.013007
46291 59641.013905
46292 59641.014353
46304 59641.019827
46305 59641.020275
46306 59641.020724
46307 59641.021177
46308 59641.021626
46309 59641.022075
46310 59641.022524
46311 59641.022973
46312 59641.023431
46313 59641.02388
46314 59641.024329
46319 59641.026579
46322 59641.027925
48938 59645.006932
48939 59645.00738
48940 59645.007834
48941 59645.008289
48942 59645.008738
48943 59645.009186
48944 59645.009635
48945 59645.010084
48946 59645.010533
48956 59645.01504
48957 59645.015489
48958 59645.015937
48959 59645.016386
48960 59645.016835
48961 59645.017284
48962 59645.017738
48963 59645.018187
48964 59645.018636
48965 59645.019085
48966 59645.019534
48969 59645.020959
48970 59645.021408
48971 59645.021937
62621 59660.996237
62622 59660.996686
64483 59662.987766
64484 59662.988214
64485 59662.988663
64486 59662.989112
64487 59662.989563
64497 59662.994038
64498 59662.994497
64516 59663.002616
64517 59663.003063
64518 59663.003512
64519 59663.003961
64520 59663.004411
67991 59666.98976
67992 59666.990208
68003 59666.99514
68004 59666.995586
68005 59666.996032
68006 59666.996481
68007 59666.99693
68021 59667.003217
68022 59667.003663
87164 59689.973346
87166 59689.974239
87189 59689.984612
87190 59689.985059
179299 59818.420036
179300 59818.420493
179305 59818.422777
179309 59818.424631
180254 59819.414533
181196 59820.408123
181197 59820.408578
181221 59820.419382
181222 59820.419831
181223 59820.420288
181224 59820.420758
181225 59820.421242
181226 59820.421692
181227 59820.422141
181228 59820.422591
184047 59823.418685
187479 59827.254029
187493 59827.2603
187494 59827.260748
187500 59827.263434
187501 59827.26388
187502 59827.264364
187503 59827.264811
187525 59827.278039
187528 59827.279466
187529 59827.279915
187532 59827.281267
187533 59827.281716
187534 59827.28217
187545 59827.287369
187546 59827.287816
187547 59827.288265
187552 59827.290515
187553 59827.290967
187556 59827.29235
187558 59827.293255
187559 59827.293704
187560 59827.294163
187561 59827.294613
187565 59827.296423
187566 59827.296872
187589 59827.307705
187591 59827.308609
187592 59827.309057
187593 59827.309513
187594 59827.310097
187595 59827.310556
187602 59827.314309
187603 59827.314787
191250 59836.277867
191251 59836.278314
191252 59836.278762
191253 59836.27921
191280 59836.291765
191281 59836.292213
191282 59836.292661
191299 59836.300643
191339 59836.319216
191340 59836.319672
191341 59836.320136
191375 59836.336713
191376 59836.337167
191377 59836.337616
191378 59836.338081
191379 59836.33853
191380 59836.338986
191381 59836.339434
191417 59836.358582
191425 59836.364803
191426 59836.365263
191448 59836.376271
191449 59836.376727
191500 59836.40119
192379 59837.39426
193261 59839.390416
193262 59839.390866
193266 59839.39268
193267 59839.39313
193268 59839.393581
193269 59839.394031
193270 59839.394481
193271 59839.394952
193272 59839.395408
193273 59839.395865
193274 59839.396315
193281 59839.399484
193282 59839.399964
193283 59839.400413
197705 59844.398069
197706 59844.398517
197707 59844.398966
197708 59844.399416
197709 59844.399872
197710 59844.40032
201125 59851.387518
201126 59851.387968
201127 59851.388418
201128 59851.388868
201129 59851.389325
201130 59851.389774
201131 59851.390229
201132 59851.390677
201137 59851.392919
201138 59851.393366
201139 59851.393816
201140 59851.394264
201143 59851.395617
201144 59851.396064
204753 59857.377469
204756 59857.378942
204757 59857.37939
204758 59857.37991
204759 59857.380359
204760 59857.380808
204761 59857.381257
204763 59857.382172
204764 59857.382621
204765 59857.383077
204766 59857.383529
204767 59857.383986
204768 59857.384473
204769 59857.384924
204770 59857.385373
