obsHistID expMJD
159496 59791.361028
183767 59823.286523
183768 59823.28697
183809 59823.306367
183810 59823.306816
183811 59823.307264
183812 59823.307716
185735 59825.325513
185736 59825.325979
185783 59825.351572
185785 59825.352519
193784 59840.213122
254312 59932.087256
254339 59932.101991
254349 59932.109018
399392 60144.410531
399394 60144.411426
400389 60145.389742
400437 60145.41211
419721 60178.314589
419722 60178.315037
419767 60178.33579
430012 60196.216209
430050 60196.234141
449859 60227.179232
449903 60227.199415
449904 60227.199863
449954 60227.223229
449955 60227.223677
479256 60279.050912
479257 60279.05136
479284 60279.063525
479286 60279.064425
479358 60279.098003
617750 60501.393135
617751 60501.393583
617785 60501.409224
617786 60501.409672
633680 60524.3378
637816 60530.326267
637848 60530.342157
637879 60530.356099
662539 60560.288311
662543 60560.290104
662583 60560.308998
662586 60560.310347
662593 60560.313703
671596 60578.237217
671618 60578.247332
680275 60588.213212
694815 60606.202902
697992 60610.192246
703723 60619.138044
703768 60619.158907
703769 60619.159355
719589 60644.084435
781408 60730.060887
781417 60730.064947
781419 60730.065842
781420 60730.066288
785475 60736.049399
888374 60881.385586
888380 60881.3883
888403 60881.398785
888404 60881.399233
921284 60934.245908
921309 60934.257187
921310 60934.257634
921342 60934.273429
927715 60941.245852
927716 60941.246304
927749 60941.261517
943244 60961.203733
943245 60961.204182
951987 60974.119672
952002 60974.126403
952077 60974.164207
960222 60993.11582
960252 60993.129332
998847 61056.133312
998877 61056.149773
1016814 61080.111483
1128100 61239.411528
1148149 61262.306306
1148195 61262.328373
1148232 61262.345271
1148276 61262.366809
1170053 61299.250164
1170094 61299.269608
1194630 61330.219302
1194668 61330.23721
1206126 61355.301102
1206127 61355.30155
1206428 61356.100024
1206459 61356.114917
1225482 61384.172709
1225497 61384.179983
1225511 61384.186839
1225512 61384.187288
1257583 61438.125258
1260426 61442.065198
1260458 61442.082794
1412470 61656.336103
1412506 61656.352293
1413598 61672.176977
1413646 61672.198985
1413648 61672.199886
1413649 61672.200333
1413678 61672.213435
1413738 61672.241152
1414539 61673.20922
1414574 61673.226922
1437835 61706.235419
1449910 61730.145063
1449911 61730.145512
1450095 61730.236431
1457940 61742.293535
1470078 61760.152496
1470171 61760.197503
1472926 61766.165063
1488143 61788.118431
1488144 61788.11888
1488145 61788.119329
1509745 61819.079421
1510491 61820.056218
1510492 61820.056667
1510517 61820.068487
1510518 61820.068937
1510569 61820.094157
1645582 62036.22747
1645583 62036.227917
1645584 62036.228365
1645626 62036.248265
1645627 62036.248713
1665450 62061.190936
1665451 62061.191385
1665488 62061.212419
1666211 62064.181094
1704147 62123.160098
1704170 62123.171103
1704179 62123.175639
1718269 62144.106995
1718388 62144.163326
1718941 62145.102667
1718974 62145.119767
1718975 62145.120215
1725428 62154.17109
1739440 62173.097791
1740205 62174.098489
1740230 62174.109847
1766775 62207.024848
1766776 62207.025295
1878740 62353.419306
1878741 62353.419787
1878742 62353.420235
1885118 62361.303634
1885119 62361.304081
1885154 62361.320511
1885155 62361.320958
1885156 62361.321406
1919934 62410.200687
1919962 62410.215351
1919969 62410.218482
1921599 62412.190298
1921640 62412.211468
1940816 62438.116354
1940853 62438.13349
1982393 62509.124528
1982394 62509.124977
1982490 62509.170882
1982532 62509.191343
2020683 62560.06733
2020684 62560.067777
2026564 62567.03332
2136796 62736.328928
2136829 62736.344235
2137660 62737.379201
2161572 62765.300161
2161573 62765.300609
2161671 62765.350764
2161707 62765.369752
2180919 62793.107758
2181048 62793.170787
2181069 62793.180193
2181660 62794.152139
2181663 62794.153482
2181694 62794.167742
2187601 62802.126365
2213325 62853.158421
2213375 62853.182938
2214643 62855.149047
2214676 62855.165224
2237244 62894.060626
2237245 62894.061075
2237284 62894.08098
2362794 63092.403501
2363956 63094.344379
2363992 63094.361185
2363993 63094.361633
2363994 63094.362089
2363995 63094.362537
2367699 63101.293232
2396840 63148.261044
2396871 63148.277714
2396872 63148.278199
2404056 63157.14507
2404057 63157.145517
2404058 63157.145965
2404114 63157.173664
2404166 63157.197259
2435293 63208.211084
2435339 63208.233571
2441332 63219.156278
2441364 63219.171699
