obsHistID expMJD
181866 59821.274782
181898 59821.289313
182014 59821.343024
185595 59825.256044
192895 59839.212084
193130 59839.325615
193170 59839.34463
193859 59840.251784
193861 59840.25268
193899 59840.27242
195529 59842.194696
197356 59844.223991
197394 59844.241759
199450 59849.178063
199504 59849.203519
199540 59849.219946
212083 59867.220238
212712 59868.131928
212748 59868.14905
219936 59877.132868
219966 59877.146397
250363 59926.150552
250364 59926.151001
250374 59926.1555
250375 59926.155949
250397 59926.166037
250407 59926.170531
261324 59943.162407
261369 59943.187269
398400 60143.415058
398420 60143.42413
401556 60147.365451
401557 60147.365899
401595 60147.384801
401596 60147.385248
405673 60153.388203
405724 60153.411682
405757 60153.426683
416929 60175.279007
416960 60175.293448
417008 60175.316013
417009 60175.31646
417057 60175.339617
417060 60175.340959
417099 60175.358647
429132 60195.230303
436418 60206.228554
436458 60206.246641
439120 60209.224161
440980 60211.24987
440982 60211.250774
440983 60211.251222
441020 60211.269354
445708 60221.145962
447526 60223.190851
448301 60224.160661
448346 60224.183071
451455 60232.132169
451456 60232.132617
451512 60232.158478
452599 60234.15928
456721 60240.147694
456731 60240.152169
470398 60267.040347
490000 60297.112948
632472 60520.391818
632507 60520.409016
638788 60531.314066
638820 60531.328527
638821 60531.328975
638837 60531.336535
638838 60531.336983
638862 60531.348133
638872 60531.352756
638917 60531.373701
643042 60536.295625
661025 60558.315372
661026 60558.31582
661061 60558.331584
671658 60578.270625
674104 60581.173874
676805 60584.207233
676806 60584.20768
676807 60584.208129
676808 60584.208576
676839 60584.223305
676841 60584.224205
676852 60584.229133
676894 60584.248127
684468 60593.16424
693009 60604.110753
693870 60605.134045
693967 60605.181322
693968 60605.181771
693974 60605.184471
693997 60605.194797
693998 60605.195244
694210 60605.297113
696246 60608.126803
698621 60611.118772
701057 60614.134381
701086 60614.147783
701129 60614.167505
704745 60621.122366
705395 60622.073568
705396 60622.074016
705397 60622.074463
705439 60622.094185
705440 60622.094632
705441 60622.095079
706922 60624.078174
715235 60635.100082
715236 60635.100541
718871 60643.090537
721759 60647.093789
755160 60695.1709
759434 60701.070825
787962 60739.029926
889405 60882.387167
889408 60882.38851
889447 60882.407886
889449 60882.408788
889457 60882.412478
889458 60882.412927
896739 60890.362813
896821 60890.401185
896822 60890.401633
896845 60890.412005
913624 60910.271873
916726 60913.348304
916788 60913.378703
920424 60933.270926
923017 60936.19481
923056 60936.212852
924894 60938.21077
924926 60938.225937
924928 60938.226832
924929 60938.227279
924934 60938.229578
924974 60938.248127
928525 60942.201835
928526 60942.202283
928549 60942.212802
928550 60942.21325
928551 60942.213698
928616 60942.243472
932974 60947.198473
943907 60962.128772
944853 60963.193088
944884 60963.207519
946375 60965.121808
952767 60975.115667
954400 60977.145116
955117 60978.117397
958607 60991.067816
958612 60991.070053
963223 60997.10802
966137 61001.089491
966178 61001.108396
969018 61006.055418
970737 61009.213318
982906 61028.083895
982974 61028.117356
988528 61036.061924
1027032 61093.06068
1027045 61093.066509
1028670 61095.060843
1028671 61095.061289
1028708 61095.078599
1145295 61259.39198
1153284 61268.350347
1153314 61268.364528
1153315 61268.364975
1170830 61302.193594
1171853 61303.265163
1171888 61303.282468
1182358 61315.225841
1182359 61315.226288
1182409 61315.250086
1182478 61315.283446
1182521 61315.305545
1182653 61315.368966
1182654 61315.369414
1183929 61317.156793
1185161 61318.333755
1185198 61318.35189
1185200 61318.352797
1186056 61319.362658
1188372 61322.225104
1188407 61322.240971
1188410 61322.242929
1189943 61324.202932
1189944 61324.203381
1189946 61324.204281
1189973 61324.216481
1189974 61324.216929
1189975 61324.217385
1189976 61324.217833
1192098 61327.16279
1192102 61327.164579
1192125 61327.175892
1192128 61327.177235
1192987 61328.193045
1193022 61328.209524
1193739 61329.16036
1195308 61331.163361
1195309 61331.163809
1195310 61331.164256
1195311 61331.164712
1195342 61331.178986
1195343 61331.179434
1224718 61383.141149
1224748 61383.156631
