obsHistID expMJD
13271 59598.111414
13320 59598.135262
46278 59641.008062
46306 59641.020724
180254 59819.414533
184047 59823.418685
187479 59827.254029
187493 59827.2603
187525 59827.278039
187528 59827.279466
187545 59827.287369
187546 59827.287816
187547 59827.288265
187553 59827.290967
187589 59827.307705
187603 59827.314787
191252 59836.278762
191253 59836.27921
191280 59836.291765
191299 59836.300643
191340 59836.319672
191376 59836.337167
208606 59862.13913
209036 59862.340565
209888 59863.353625
209889 59863.354109
210469 59864.233913
210471 59864.234836
210472 59864.23529
210522 59864.260556
236418 59906.017709
236458 59906.035889
237856 59908.019985
237857 59908.020433
237885 59908.03302
237886 59908.033468
238575 59909.021561
238613 59909.038773
238614 59909.03922
263903 59947.074776
286215 59984.023061
286255 59984.041429
295938 59996.016816
295972 59996.032231
308757 60012.01442
308758 60012.014867
308791 60012.030106
314948 60018.994862
314954 60018.997556
314997 60019.017241
316732 60021.008047
395389 60140.442498
398451 60143.439477
408909 60160.339157
409007 60160.385859
409008 60160.386307
409035 60160.398501
409037 60160.399405
427038 60187.328854
436768 60206.394103
436769 60206.394551
443780 60216.196877
443820 60216.215004
443821 60216.215451
443856 60216.231298
443857 60216.231748
443899 60216.25097
462676 60247.292303
474771 60273.016235
474778 60273.01937
474779 60273.019818
474805 60273.031529
474807 60273.032444
476291 60275.02942
476327 60275.046174
476328 60275.046622
476369 60275.066217
477790 60277.038706
484866 60290.032204
484904 60290.049672
484905 60290.050121
484906 60290.050584
516293 60336.033845
516300 60336.03705
516331 60336.051778
516336 60336.05423
523888 60350.036889
523889 60350.037338
523890 60350.037787
538392 60369.011023
538393 60369.011479
538431 60369.029012
538433 60369.029915
627968 60512.402194
627971 60512.403536
627997 60512.420571
627998 60512.421019
628000 60512.421918
648513 60542.295633
648519 60542.298317
688415 60598.306482
688416 60598.307017
688451 60598.326317
691013 60601.33412
691047 60601.35092
691048 60601.351369
707630 60625.053664
707631 60625.054114
707639 60625.057852
707660 60625.067497
707669 60625.071926
707672 60625.073268
707715 60625.09353
711858 60630.235885
712356 60631.130769
712519 60631.211004
712574 60631.238439
721609 60647.02202
721618 60647.026046
721639 60647.03558
724501 60651.050718
726567 60654.032179
726568 60654.032627
726608 60654.051685
745914 60682.063556
749661 60687.150986
749662 60687.151435
749698 60687.168761
750232 60688.091421
769987 60715.036737
769988 60715.037186
770035 60715.059119
778844 60727.023974
796365 60753.00923
902858 60897.433582
903692 60898.358971
903729 60898.376331
903742 60898.383128
903765 60898.394617
957632 60982.326914
968196 61005.022643
968226 61005.036136
968978 61006.036063
968993 61006.042876
971045 61010.021482
971046 61010.021929
971087 61010.040512
972811 61012.201165
972851 61012.22186
972852 61012.222309
973521 61013.219637
974818 61015.180381
974819 61015.18083
992262 61041.191737
992264 61041.192639
992293 61041.207047
992294 61041.207496
1003699 61063.050025
1006662 61067.031379
1006663 61067.031828
1006675 61067.03721
1006697 61067.047656
1006698 61067.048105
1006706 61067.051814
1014261 61077.028439
1014292 61077.042453
1020566 61085.021311
1020567 61085.021759
1030541 61098.021599
1041598 61111.007604
1041599 61111.00805
1041603 61111.009834
1041604 61111.010282
1041606 61111.01118
