obsHistID expMJD
2221657 62868.079919
2221658 62868.080336
2221659 62868.080752
2221660 62868.081169
2221661 62868.081586
2221662 62868.082002
2221663 62868.082419
2221664 62868.082836
2221665 62868.083252
2221666 62868.083669
2376956 63117.252925
2376957 63117.253342
2376958 63117.253758
2376959 63117.254175
2376960 63117.254592
2376961 63117.255008
2376962 63117.255425
2376963 63117.255842
2376964 63117.256258
2376965 63117.256675
2379324 63121.253512
2379325 63121.253929
2379326 63121.254345
2379327 63121.254762
2379328 63121.255179
2379329 63121.255595
2379330 63121.256012
2379331 63121.256429
2379332 63121.256845
2379333 63121.257262
2385581 63131.198674
2385582 63131.19909
2385583 63131.199507
2385584 63131.199924
2385585 63131.20034
2385586 63131.200757
2385587 63131.201174
2385588 63131.20159
2385589 63131.202007
2385590 63131.202424
2388701 63136.186891
2388702 63136.187308
2388703 63136.187725
2388704 63136.188141
2388705 63136.188558
2388706 63136.188975
2388707 63136.189391
2388708 63136.189808
2388709 63136.190225
2388710 63136.190641
2394259 63145.242079
2394260 63145.242495
2394261 63145.242912
2394262 63145.243329
2394263 63145.243745
2394264 63145.244162
2394265 63145.244579
2394266 63145.244995
2394267 63145.245412
2394268 63145.245829
2396685 63148.18721
2396686 63148.187627
2396687 63148.188044
2396688 63148.18846
2396689 63148.188877
2396690 63148.189294
2396691 63148.18971
2396692 63148.190127
2396693 63148.190544
2396694 63148.19096
2399163 63151.178487
2399164 63151.178904
2399165 63151.17932
2399166 63151.179737
2399167 63151.180154
2399168 63151.18057
2399169 63151.180987
2399170 63151.181404
2399171 63151.18182
2399172 63151.182237
2408410 63162.292955
2408411 63162.293371
2408412 63162.293788
2408413 63162.294205
2408414 63162.294621
2408415 63162.295038
2408416 63162.295455
2408417 63162.295871
2408418 63162.296288
2408419 63162.296705
2410485 63165.108564
2410486 63165.108981
2410487 63165.109397
2410488 63165.109814
2410489 63165.110231
2410490 63165.110647
2410491 63165.111064
2410492 63165.111481
2410493 63165.111897
2410494 63165.112314
2417122 63181.08767
2417123 63181.088087
2417124 63181.088504
2417125 63181.08892
2417126 63181.089337
2417127 63181.089754
2417128 63181.09017
2417129 63181.090587
2417130 63181.091004
2417131 63181.09142
2423675 63191.075891
2423676 63191.076308
2423677 63191.076725
2423678 63191.077141
2423679 63191.077558
2423680 63191.077975
2423681 63191.078391
2423682 63191.078808
2423683 63191.079225
2423684 63191.079641
2425773 63194.053503
2425774 63194.053919
2425775 63194.054336
2425776 63194.054753
2425777 63194.055169
2425778 63194.055586
2425779 63194.056003
2425780 63194.056419
2425781 63194.056836
2425782 63194.057253
2431511 63203.062447
2431512 63203.062864
2431513 63203.06328
2431514 63203.063697
2431515 63203.064114
2431516 63203.06453
2431517 63203.064947
2431518 63203.065364
2431519 63203.06578
2431520 63203.066197
2433608 63206.061573
2433609 63206.06199
2433610 63206.062406
2433611 63206.062823
2433612 63206.06324
2433613 63206.063656
2433614 63206.064073
2433615 63206.06449
2433616 63206.064906
2433617 63206.065323
2435655 63209.063327
2435656 63209.063744
2435657 63209.064161
2435658 63209.064577
2435659 63209.064994
2435660 63209.065411
2435661 63209.065827
2435662 63209.066244
2435663 63209.066661
2435664 63209.067077
2441837 63220.068997
2441838 63220.069413
2441839 63220.06983
2441840 63220.070247
2441841 63220.070663
2441842 63220.07108
2441843 63220.071497
2441844 63220.071913
2441845 63220.07233
2441846 63220.072747
2443835 63223.069894
2443836 63223.070311
2443837 63223.070728
2443838 63223.071144
2443839 63223.071561
2443840 63223.071978
2443841 63223.072394
2443842 63223.072811
2443843 63223.073228
2443844 63223.073644
