obsHistID expMJD
2221667 62868.085451
2221668 62868.085868
2221669 62868.086285
2221670 62868.086701
2221671 62868.087118
2221672 62868.087535
2221673 62868.087951
2221674 62868.088368
2221675 62868.088785
2221676 62868.089201
2221677 62868.089618
2221678 62868.090035
2221679 62868.090451
2221680 62868.090868
2221681 62868.091285
2221682 62868.091701
2221683 62868.092118
2221684 62868.092535
2221685 62868.092951
2221686 62868.093368
2376966 63117.258457
2376967 63117.258874
2376968 63117.259291
2376969 63117.259707
2376970 63117.260124
2376971 63117.260541
2376972 63117.260957
2376973 63117.261374
2376974 63117.261791
2376975 63117.262207
2376976 63117.262624
2376977 63117.263041
2376978 63117.263457
2376979 63117.263874
2376980 63117.264291
2376981 63117.264707
2376982 63117.265124
2376983 63117.265541
2376984 63117.265957
2376985 63117.266374
2379334 63121.259044
2379335 63121.259461
2379336 63121.259878
2379337 63121.260294
2379338 63121.260711
2379339 63121.261128
2379340 63121.261544
2379341 63121.261961
2379342 63121.262378
2379343 63121.262794
2379344 63121.263211
2379345 63121.263628
2379346 63121.264044
2379347 63121.264461
2379348 63121.264878
2379349 63121.265294
2379350 63121.265711
2379351 63121.266128
2379352 63121.266544
2379353 63121.266961
2385591 63131.204206
2385592 63131.204623
2385593 63131.205039
2385594 63131.205456
2385595 63131.205873
2385596 63131.206289
2385597 63131.206706
2385598 63131.207123
2385599 63131.207539
2385600 63131.207956
2385601 63131.208373
2385602 63131.208789
2385603 63131.209206
2385604 63131.209623
2385605 63131.210039
2385606 63131.210456
2385607 63131.210873
2385608 63131.211289
2385609 63131.211706
2385610 63131.212123
2388711 63136.192424
2388712 63136.19284
2388713 63136.193257
2388714 63136.193674
2388715 63136.19409
2388716 63136.194507
2388717 63136.194924
2388718 63136.19534
2388719 63136.195757
2388720 63136.196174
2388721 63136.19659
2388722 63136.197007
2388723 63136.197424
2388724 63136.19784
2388725 63136.198257
2388726 63136.198674
2388727 63136.19909
2388728 63136.199507
2388729 63136.199924
2388730 63136.20034
2394269 63145.247611
2394270 63145.248028
2394271 63145.248444
2394272 63145.248861
2394273 63145.249278
2394274 63145.249694
2394275 63145.250111
2394276 63145.250528
2394277 63145.250944
2394278 63145.251361
2394279 63145.251778
2394280 63145.252194
2394281 63145.252611
2394282 63145.253028
2394283 63145.253444
2394284 63145.253861
2394285 63145.254278
2394286 63145.254694
2394287 63145.255111
2394288 63145.255528
2396695 63148.192743
2396696 63148.193159
2396697 63148.193576
2396698 63148.193993
2396699 63148.194409
2396700 63148.194826
2396701 63148.195243
2396702 63148.195659
2396703 63148.196076
2396704 63148.196493
2396705 63148.196909
2396706 63148.197326
2396707 63148.197743
2396708 63148.198159
2396709 63148.198576
2396710 63148.198993
2396711 63148.199409
2396712 63148.199826
2396713 63148.200243
2396714 63148.200659
2399173 63151.184019
2399174 63151.184436
2399175 63151.184853
2399176 63151.185269
2399177 63151.185686
2399178 63151.186103
2399179 63151.186519
2399180 63151.186936
2399181 63151.187353
2399182 63151.187769
2399183 63151.188186
2399184 63151.188603
2399185 63151.189019
2399186 63151.189436
2399187 63151.189853
2399188 63151.190269
2399189 63151.190686
2399190 63151.191103
2399191 63151.191519
2399192 63151.191936
2408420 63162.298487
2408421 63162.298904
2408422 63162.299321
2408423 63162.299737
2408424 63162.300154
2408425 63162.300571
2408426 63162.300987
2408427 63162.301404
2408428 63162.301821
2408429 63162.302237
2408430 63162.302654
2408431 63162.303071
2408432 63162.303487
2408433 63162.303904
2408434 63162.304321
2408435 63162.304737
2408436 63162.305154
2408437 63162.305571
2408438 63162.305987
2408439 63162.306404
2410495 63165.114096
2410496 63165.114513
2410497 63165.11493
2410498 63165.115346
2410499 63165.115763
2410500 63165.11618
2410501 63165.116596
2410502 63165.117013
2410503 63165.11743
2410504 63165.117846
2410505 63165.118263
2410506 63165.11868
2410507 63165.119096
2410508 63165.119513
2410509 63165.11993
2410510 63165.120346
2410511 63165.120763
2410512 63165.12118
2410513 63165.121596
2410514 63165.122013
2417132 63181.093203
2417133 63181.093619
2417134 63181.094036
2417135 63181.094453
2417136 63181.094869
2417137 63181.095286
2417138 63181.095703
2417139 63181.096119
