obsHistID expMJD
994120 61044.064406
994121 61044.064823
994122 61044.065239
994123 61044.065656
994124 61044.066073
994125 61044.066489
994126 61044.066906
994127 61044.067323
994128 61044.067739
994129 61044.068156
994130 61044.068573
994131 61044.068989
994132 61044.069406
994133 61044.069823
994134 61044.070239
994135 61044.070656
994136 61044.071073
994137 61044.071489
994138 61044.071906
994139 61044.072323
995535 61047.063404
995536 61047.06382
995537 61047.064237
995538 61047.064654
995539 61047.06507
995540 61047.065487
995541 61047.065904
995542 61047.06632
995543 61047.066737
995544 61047.067154
995545 61047.06757
995546 61047.067987
995547 61047.068404
995548 61047.06882
995549 61047.069237
995550 61047.069654
995551 61047.07007
995552 61047.070487
995553 61047.070904
995554 61047.07132
996922 61050.063745
996923 61050.064161
996924 61050.064578
996925 61050.064995
996926 61050.065411
996927 61050.065828
996928 61050.066245
996929 61050.066661
996930 61050.067078
996931 61050.067495
996932 61050.067911
996933 61050.068328
996934 61050.068745
996935 61050.069161
996936 61050.069578
996937 61050.069995
996938 61050.070411
996939 61050.070828
996940 61050.071245
996941 61050.071661
997642 61054.063616
997643 61054.064032
997644 61054.064449
997645 61054.064866
997646 61054.065282
997647 61054.065699
997648 61054.066116
997649 61054.066532
997650 61054.066949
997651 61054.067366
997652 61054.067782
997653 61054.068199
997654 61054.068616
997655 61054.069032
997656 61054.069449
997657 61054.069866
997658 61054.070282
997659 61054.070699
997660 61054.071116
997661 61054.071532
1170831 61302.194022
1170832 61302.19445
1170833 61302.194879
1170834 61302.195307
1170835 61302.195735
1170836 61302.196163
1170837 61302.196592
1170838 61302.19702
1170839 61302.197448
1170840 61302.197876
1170841 61302.198305
1170842 61302.198733
1170843 61302.199161
1170844 61302.199589
1170845 61302.200018
1170846 61302.200446
1170847 61302.200874
1170848 61302.201302
1170849 61302.201731
1173504 61305.221442
1173505 61305.221858
1173506 61305.222275
1173507 61305.222692
1173508 61305.223108
1173509 61305.223525
1173510 61305.223942
1173511 61305.224358
1173512 61305.224775
1173513 61305.225192
1173514 61305.225608
1173515 61305.226025
1173516 61305.226442
1173517 61305.226858
1173518 61305.227275
1173519 61305.227692
1173520 61305.228108
1173521 61305.228525
1173522 61305.228942
1173523 61305.229358
1176512 61308.368943
1176513 61308.36936
1176514 61308.369776
1176515 61308.370193
1176516 61308.37061
1176517 61308.371026
1176518 61308.371442999996
1176519 61308.37186
1176520 61308.372276
1176521 61308.372693
1176522 61308.37311
1176523 61308.373526
1176524 61308.373943
1176525 61308.37436
1176526 61308.374776
1176527 61308.375193
1176528 61308.37561
1176529 61308.376026
1176530 61308.376443
1176531 61308.37686
1181556 61314.260412
1181557 61314.260829
1181558 61314.261246
1181559 61314.261662
1181560 61314.262079
1181561 61314.262496
1181562 61314.262912
1181563 61314.263329
1181564 61314.263746
1181565 61314.264162
1181566 61314.264579
1181567 61314.264996
1181568 61314.265412
1181569 61314.265829
1181570 61314.266246
1181571 61314.266662
1181572 61314.267079
1181573 61314.267496
1181574 61314.267912
1181575 61314.268329
1183930 61317.157221
1183931 61317.157649
1183932 61317.158077
1183933 61317.158506
1183934 61317.158934
1183935 61317.159362
1183936 61317.15979
1183937 61317.160218
1183938 61317.160647
1183939 61317.161063
1183940 61317.16148
1183941 61317.161897
1183942 61317.162313
1183943 61317.16273
1183944 61317.163147
1183945 61317.163563
1183946 61317.16398
1183947 61317.164397
1183948 61317.164813
1194511 61330.16213
1194512 61330.162547
1194513 61330.162963
1194514 61330.16338
1194515 61330.163797
1194516 61330.164213
1194517 61330.16463
1194518 61330.165047
1194519 61330.165463
1194520 61330.16588
1194521 61330.166297
1194522 61330.166713
1194523 61330.16713
1194524 61330.167547
1194525 61330.167963
1194526 61330.16838
1194527 61330.168797
1194528 61330.169213
1194529 61330.16963
1194530 61330.170047
1196882 61333.158958
1196883 61333.159375
1196884 61333.159791
1196885 61333.160208
1196886 61333.160625
1196887 61333.161041
1196888 61333.161458
1196889 61333.161875
1196890 61333.162291
1196891 61333.162708
1196892 61333.163125
1196893 61333.163541
1196894 61333.163958
1196895 61333.164375
1196896 61333.164791
1196897 61333.165208
1196898 61333.165625
1196899 61333.166041
1196900 61333.166458
1196901 61333.166875
1198541 61336.193524
1198542 61336.193941
1198543 61336.194358
1198544 61336.194774
1198545 61336.195191
1198546 61336.195608
1198547 61336.196024
1198548 61336.196441
1198549 61336.196858
1198550 61336.197274
1198551 61336.197691
1198552 61336.198108
1198553 61336.198524
1198554 61336.198941
1198555 61336.199358
1198556 61336.199774
1198557 61336.200191
1198558 61336.200608
1198559 61336.201024
1198560 61336.201441
1203190 61344.118294
1203191 61344.118711
1203192 61344.119127
1203193 61344.119544
1203194 61344.119961
1203195 61344.120377
1203196 61344.120794
1203197 61344.121211
1203198 61344.121627
1203199 61344.122044
1203200 61344.122461
1203201 61344.122877
1203202 61344.123294
1203203 61344.123711
1203204 61344.124127
1203205 61344.124544
1203206 61344.124961
1203207 61344.125377
1203208 61344.125794
1203209 61344.126211
1204004 61348.120338
1204005 61348.120755
1204006 61348.121172
1204007 61348.121588
1204008 61348.122005
1204009 61348.122422
1204010 61348.122838
1204011 61348.123255
1204012 61348.123672
1204013 61348.124088
1204014 61348.124505
1204015 61348.124922
1204016 61348.125338
1204017 61348.125755
1204018 61348.126172
1204019 61348.126588
1204020 61348.127005
1204021 61348.127422
1204022 61348.127838
1204023 61348.128255
1208179 61359.080607
1208180 61359.081024
1208181 61359.081441
1208182 61359.081857
1208183 61359.082274
1208184 61359.082691
1208185 61359.083107
1208186 61359.083524
1208187 61359.083941
1208188 61359.084357
1208189 61359.084774
1208190 61359.085191
1208191 61359.085607
1208192 61359.086024
1208193 61359.086441
1208194 61359.086857
1208195 61359.087274
1208196 61359.087691
1208197 61359.088107
1208198 61359.088524
1210311 61362.082601
1210312 61362.083017
1210313 61362.083434
1210314 61362.083851
1210315 61362.084267
1210316 61362.084684
1210317 61362.085101
1210318 61362.085517
1210319 61362.085934
1210320 61362.086351
1210321 61362.086767
1210322 61362.087184
1210323 61362.087601
1210324 61362.088017
1210325 61362.088434
1210326 61362.088851
1210327 61362.089267
1210328 61362.089684
1210329 61362.090101
1210330 61362.090517
1212488 61365.110161
1212489 61365.110578
1212490 61365.110995
1212491 61365.111411
1212492 61365.111828
1212493 61365.112245
1212494 61365.112661
1212495 61365.113078
1212496 61365.113495
1212497 61365.113911
1212498 61365.114328
1212499 61365.114745
1212500 61365.115161
1212501 61365.115578
1212502 61365.115995
1212503 61365.116411
1212504 61365.116828
1212505 61365.117245
1212506 61365.117661
1212507 61365.118078
1215940 61370.045315
1215941 61370.045732
