obsHistID expMJD
1977344 62502.077544
1977345 62502.077961
1977346 62502.078377
1977347 62502.078794
1977348 62502.079211
1977349 62502.079627
1977350 62502.080044
1977351 62502.080461
1977352 62502.080877
1977353 62502.081294
1977354 62502.081711
1977355 62502.082127
1977356 62502.082544
1977357 62502.082961
1977358 62502.083377
1977359 62502.083794
1977360 62502.084211
1977361 62502.084627
1977362 62502.085044
1978045 62503.069571
1978046 62503.069987
1978047 62503.070404
1978048 62503.070821
1978049 62503.071237
1978050 62503.071654
1978051 62503.072071
1978052 62503.072487
1978053 62503.072904
1978054 62503.073321
1978055 62503.073737
1978056 62503.074154
1978057 62503.074571
1978058 62503.074987
1978059 62503.075404
1978060 62503.075821
1978061 62503.076237
1978062 62503.076654
1978063 62503.077071
1978064 62503.077487
1978736 62504.067044
1978737 62504.06746
1978738 62504.067877
1978739 62504.068294
1978740 62504.06871
1978741 62504.069127
1978742 62504.069544
1978743 62504.06996
1978744 62504.070377
1978745 62504.070794
1978746 62504.07121
1978747 62504.071627
1978748 62504.072044
1978749 62504.07246
1978750 62504.072877
1978751 62504.073294
1978752 62504.07371
1978753 62504.074127
1978754 62504.074544
1978755 62504.07496
1979434 62505.064384
1979435 62505.064801
1979436 62505.065218
1979437 62505.065634
1979438 62505.066051
1979439 62505.066468
1979440 62505.066884
1979441 62505.067301
1979442 62505.067718
1979443 62505.068134
1979444 62505.068551
1979445 62505.068968
1979446 62505.069384
1979447 62505.069801
1979448 62505.070218
1979449 62505.070634
1979450 62505.071051
1979451 62505.071468
1979452 62505.071884
1979453 62505.072301
1980128 62506.062398
1980129 62506.062815
1980130 62506.063231
1980131 62506.063648
1980132 62506.064065
1980133 62506.064481
1980134 62506.064898
1980135 62506.065315
1980136 62506.065731
1980137 62506.066148
1980138 62506.066565
1980139 62506.066981
1980140 62506.067398
1980141 62506.067815
1980142 62506.068231
1980143 62506.068648
1980144 62506.069065
1980145 62506.069481
1980146 62506.069898
1980147 62506.070315
1980850 62507.06271
1980851 62507.063127
1980852 62507.063544
1980853 62507.06396
1980854 62507.064377
1980855 62507.064794
1980856 62507.06521
1980857 62507.065627
1980858 62507.066044
1980859 62507.06646
1980860 62507.066877
1980861 62507.067294
1980862 62507.06771
1980863 62507.068127
1980864 62507.068544
1980865 62507.06896
1980866 62507.069377
1980867 62507.069794
1980868 62507.07021
1980869 62507.070627
1981560 62508.062669
1981561 62508.063085
1981562 62508.063502
1981563 62508.063919
1981564 62508.064335
1981565 62508.064752
1981566 62508.065169
1981567 62508.065585
1981568 62508.066002
1981569 62508.066419
1981570 62508.066835
1981571 62508.067252
1981572 62508.067669
1981573 62508.068085
1981574 62508.068502
1981575 62508.068919
1981576 62508.069335
1981577 62508.069752
1981578 62508.070169
1981579 62508.070585
2163830 62769.234591
2163831 62769.235008
2163832 62769.235425
2163833 62769.235841
2163834 62769.236258
2163835 62769.236675
2163836 62769.237091
2163837 62769.237508
2163838 62769.237925
2163839 62769.238341
2163840 62769.238758
2163841 62769.239175
2163842 62769.239591
2163843 62769.240008
2163844 62769.240425
2163845 62769.240841
2163846 62769.241258
2163847 62769.241675
2163848 62769.242091
2164652 62770.189559
2164653 62770.189976
2164654 62770.190392
2164655 62770.190809
2164656 62770.191226
2164657 62770.191642
2164658 62770.192059
2164659 62770.192476
2164660 62770.192892
2164661 62770.193309
2164662 62770.193726
2164663 62770.194142
2164664 62770.194559
2164665 62770.194976
2164666 62770.195392
2164667 62770.195809
2164668 62770.196226
2164669 62770.196642
2164670 62770.197059
2165534 62771.189037
2165535 62771.189454
2165536 62771.18987
2165537 62771.190287
2165538 62771.190704
2165539 62771.19112
2165540 62771.191537
2165541 62771.191954
2165542 62771.19237
2165543 62771.192787
2165544 62771.193204
2165545 62771.19362
2165546 62771.194037
2165547 62771.194454
2165548 62771.19487
2165549 62771.195287
2165550 62771.195704
2165551 62771.19612
2165552 62771.196537
2165553 62771.196954
2166130 62772.179812
2166131 62772.180228
2166132 62772.180645
2166133 62772.181062
2166134 62772.181478
2166135 62772.181895
2166136 62772.182312
2166137 62772.182728
2166138 62772.183145
2166139 62772.183562
2166140 62772.183978
2166141 62772.184395
2166142 62772.184812
2166143 62772.185228
2166144 62772.185645
2166145 62772.186062
2166146 62772.186478
2166147 62772.186895
2166148 62772.187312
2166149 62772.187728
2167098 62773.218935
2167099 62773.219351
2167100 62773.219768
2167101 62773.220185
2167102 62773.220601
2167103 62773.221018
2167104 62773.221435
2167105 62773.221851
2167106 62773.222268
2167107 62773.222685
2167108 62773.223101
2167109 62773.223518
2167110 62773.223935
2167111 62773.224351
2167112 62773.224768
2167113 62773.225185
2167114 62773.225601
2167115 62773.226018
2167116 62773.226435
2167117 62773.226851
2167618 62774.179599
2167619 62774.180016
2167620 62774.180432
2167621 62774.180849
2167622 62774.181266
2167623 62774.181682
2167624 62774.182099
2167625 62774.182516
2167626 62774.182932
2167627 62774.183349
2167628 62774.183766
2167629 62774.184182
2167630 62774.184599
2167631 62774.185016
2167632 62774.185432
2167633 62774.185849
2167634 62774.186266
2167635 62774.186682
2167636 62774.187099
2167637 62774.187516
2168471 62775.172478
2168472 62775.172895
2168473 62775.173312
2168474 62775.173728
2168475 62775.174145
2168476 62775.174562
2168477 62775.174978
2168478 62775.175395
2168479 62775.175812
2168480 62775.176228
2168481 62775.176645
2168482 62775.177062
2168483 62775.177478
2168484 62775.177895
2168485 62775.178312
2168486 62775.178728
2168487 62775.179145
2168488 62775.179562
2168489 62775.179978
2168490 62775.180395
2185174 62799.110642
2185175 62799.111059
2185176 62799.111475
2185177 62799.111892
2185178 62799.112309
2185179 62799.112725
2185180 62799.113142
2185181 62799.113559
2185182 62799.113975
2185183 62799.114392
2185184 62799.114809
2185185 62799.115225
2185186 62799.115642
2185187 62799.116059
2185188 62799.116475
2185189 62799.116892
2185190 62799.117309
2185191 62799.117725
2185192 62799.118142
2185979 62800.109211
2185980 62800.109627
2185981 62800.110044
2185982 62800.110461
2185983 62800.110877
2185984 62800.111294
2185985 62800.111711
2185986 62800.112127
2185987 62800.112544
2185988 62800.112961
2185989 62800.113377
2185990 62800.113794
2185991 62800.114211
2185992 62800.114627
2185993 62800.115044
2185994 62800.115461
2185995 62800.115877
2185996 62800.116294
2185997 62800.116711
2185998 62800.117127
2186769 62801.105892
2186770 62801.106309
2186771 62801.106726
2186772 62801.107142
2186773 62801.107559
2186774 62801.107976
2186775 62801.108392
2186776 62801.108809
2186777 62801.109226
2186778 62801.109642
2186779 62801.110059
2186780 62801.110476
2186781 62801.110892
2186782 62801.111309
2186783 62801.111726
2186784 62801.112142
2186785 62801.112559
2186786 62801.112976
2186787 62801.113392
2186788 62801.113809
2187555 62802.104384
2187556 62802.1048
2187557 62802.105217
2187558 62802.105634
2187559 62802.10605
2187560 62802.106467
2187561 62802.106884
2187562 62802.1073
2187563 62802.107717
2187564 62802.108134
2187565 62802.10855
2187566 62802.108967
2187567 62802.109384
2187568 62802.1098
2187569 62802.110217
2187570 62802.110634
2187571 62802.11105
2187572 62802.111467
2187573 62802.111884
2187574 62802.1123
2188333 62803.102814
2188334 62803.10323
2188335 62803.103647
2188336 62803.104064
2188337 62803.10448
2188338 62803.104897
2188339 62803.105314
2188340 62803.10573
2188341 62803.106147
2188342 62803.106564
2188343 62803.10698
2188344 62803.107397
2188345 62803.107814
2188346 62803.10823
2188347 62803.108647
2188348 62803.109064
2188349 62803.10948
2188350 62803.109897
2188351 62803.110314
2188352 62803.11073
2189113 62804.119873
2189114 62804.12029
2189115 62804.120707
2189116 62804.121123
2189117 62804.12154
2189118 62804.121957
2189119 62804.122373
2189120 62804.12279
2189121 62804.123207
2189122 62804.123623
2189123 62804.12404
2189124 62804.124457
2189125 62804.124873
2189126 62804.12529
2189127 62804.125707
2189128 62804.126123
2189129 62804.12654
2189130 62804.126957
2189131 62804.127373
2189132 62804.12779
2198360 62827.042712
2198361 62827.043128
2198362 62827.043545
2198363 62827.043962
2198364 62827.044378
2198365 62827.044795
2198366 62827.045212
2198367 62827.045628
2198368 62827.046045
2198369 62827.046462
2198370 62827.046878
2198371 62827.047295
2198372 62827.047712
2198373 62827.048128
2198374 62827.048545
2198375 62827.048962
2198376 62827.049378
2198377 62827.049795
2198378 62827.050212
2198379 62827.050628
2199108 62828.052003
2199109 62828.052419
2199110 62828.052836
2199111 62828.053253
2199112 62828.053669
2199113 62828.054086
2199114 62828.054503
2199115 62828.054919
2199116 62828.055336
2199117 62828.055753
2199118 62828.056169
2199119 62828.056586
2199120 62828.057003
2199121 62828.057419
2199122 62828.057836
2199123 62828.058253
2199124 62828.058669
2199125 62828.059086
2199126 62828.059503
2199127 62828.059919
2199828 62829.052843
2199829 62829.05326
2199830 62829.053677
2199831 62829.054093
2199832 62829.05451
2199833 62829.054927
2199834 62829.055343
2199835 62829.05576
2199836 62829.056177
2199837 62829.056593
2199838 62829.05701
2199839 62829.057427
2199840 62829.057843
2199841 62829.05826
2199842 62829.058677
2199843 62829.059093
2199844 62829.05951
2199845 62829.059927
2199846 62829.060343
2199847 62829.06076
2200555 62830.053443
2200556 62830.053859
2200557 62830.054276
2200558 62830.054693
2200559 62830.055109
2200560 62830.055526
2200561 62830.055943
2200562 62830.056359
2200563 62830.056776
2200564 62830.057193
2200565 62830.057609
2200566 62830.058026
2200567 62830.058443
2200568 62830.058859
2200569 62830.059276
2200570 62830.059693
2200571 62830.060109
2200572 62830.060526
2200573 62830.060943
2200574 62830.061359
2201277 62831.054153
2201278 62831.054569
2201279 62831.054986
2201280 62831.055403
2201281 62831.055819
2201282 62831.056236
2201283 62831.056653
2201284 62831.057069
2201285 62831.057486
2201286 62831.057903
2201287 62831.058319
2201288 62831.058736
2201289 62831.059153
2201290 62831.059569
2201291 62831.059986
2201292 62831.060403
2201293 62831.060819
2201294 62831.061236
2201295 62831.061653
2201296 62831.062069
2201763 62832.054896
2201764 62832.055313
2201765 62832.055729
2201766 62832.056146
2201767 62832.056563
2201768 62832.056979
2201769 62832.057396
2201770 62832.057813
2201771 62832.058229
2201772 62832.058646
2201773 62832.059063
2201774 62832.059479
2201775 62832.059896
2201776 62832.060313
2201777 62832.060729
2201778 62832.061146
2201779 62832.061563
2201780 62832.061979
2201781 62832.062396
2201782 62832.062813
2202353 62833.055834
2202354 62833.056251
2202355 62833.056667
2202356 62833.057084
2202357 62833.057501
2202358 62833.057917
2202359 62833.058334
2202360 62833.058751
2202361 62833.059167
2202362 62833.059584
2202363 62833.060001
2202364 62833.060417
2202365 62833.060834
2202366 62833.061251
2202367 62833.061667
2202368 62833.062084
2202369 62833.062501
2202370 62833.062917
2202371 62833.063334
2202372 62833.063751
2216694 62859.125104
2216695 62859.12552
2216696 62859.125937
2216697 62859.126354
2216698 62859.12677
2216699 62859.127187
2216700 62859.127604
2216701 62859.12802
2216702 62859.128437
2216703 62859.128854
2216704 62859.12927
2216705 62859.129687
2216706 62859.130104
2216707 62859.13052
2216708 62859.130937
2216709 62859.131354
2216710 62859.13177
2216711 62859.132187
2216712 62859.132604
2217290 62860.070156
2217291 62860.070573
2217292 62860.070989
2217293 62860.071406
2217294 62860.071823
2217295 62860.072239
2217296 62860.072656
2217297 62860.073073
2217298 62860.073489
2217299 62860.073906
2217300 62860.074323
2217301 62860.074739
2217302 62860.075156
2217303 62860.075573
2217304 62860.075989
2217305 62860.076406
2217306 62860.076823
2217307 62860.091128
2217308 62860.092141
2217309 62860.092582
2218267 62863.061738
2218268 62863.062155
2218269 62863.062572
2218270 62863.062988
2218271 62863.063405
2218272 62863.063822
2218273 62863.064238
2218274 62863.064655
2218275 62863.065072
2218276 62863.065488
2218277 62863.065905
2218278 62863.066322
2218279 62863.066738
2218280 62863.067155
2218281 62863.067572
2218282 62863.067988
2218283 62863.068405
2218284 62863.068822
2218285 62863.083127
2218286 62863.084139
2218912 62864.061859
2218913 62864.062276
2218914 62864.062693
2218915 62864.063109
2218916 62864.063526
2218917 62864.063943
2218918 62864.064359
2218919 62864.064776
2218920 62864.065193
2218921 62864.065609
2218922 62864.066026
2218923 62864.080332
2218924 62864.081344
2218925 62864.081785
2218926 62864.082215
2218927 62864.082645
2218928 62864.083075
2218929 62864.083505
2218930 62864.083935
2218931 62864.084365
