obsHistID expMJD
1632361 62014.334034
1632362 62014.334451
1632363 62014.334868
1632364 62014.335284
1632365 62014.335701
1632366 62014.336118
1632367 62014.336534
1632368 62014.336951
1632369 62014.337368
1632370 62014.337784
1632371 62014.338201
1632372 62014.338618
1632373 62014.339034
1632374 62014.339451
1632375 62014.339868
1632376 62014.340284
1632377 62014.340701
1632378 62014.341118
1632379 62014.341534
1632380 62014.341951
1637032 62026.325959
1637033 62026.326375
1637034 62026.326792
1637035 62026.327209
1637036 62026.327625
1637037 62026.328042
1637038 62026.328459
1637039 62026.328875
1637040 62026.329292
1637041 62026.329709
1637042 62026.330125
1637043 62026.330542
1637044 62026.330959
1637045 62026.331375
1637046 62026.331792
1637047 62026.332209
1637048 62026.332625
1637049 62026.333042
1637050 62026.333459
1637051 62026.333875
1639372 62029.24447
1639373 62029.244887
1639374 62029.245304
1639375 62029.24572
1639376 62029.246137
1639377 62029.246554
1639378 62029.24697
1639379 62029.247387
1639380 62029.247804
1639381 62029.24822
1639382 62029.248637
1639383 62029.249054
1639384 62029.24947
1639385 62029.249887
1639386 62029.250304
1639387 62029.25072
1639388 62029.251137
1639389 62029.251554
1639390 62029.25197
1639391 62029.252387
1650459 62042.230215
1650460 62042.230632
1650461 62042.231049
1650462 62042.231465
1650463 62042.231882
1650464 62042.232299
1650465 62042.232715
1650466 62042.233132
1650467 62042.233549
1650468 62042.233965
1650469 62042.234382
1650470 62042.234799
1650471 62042.235215
1650472 62042.235632
1650473 62042.236049
1650474 62042.236465
1650475 62042.236882
1650476 62042.237299
1650477 62042.237715
1650478 62042.238132
1652730 62045.343988
1652731 62045.344405
1652732 62045.344822
1652733 62045.345238
1652734 62045.345655
1652735 62045.346072
1652736 62045.346488
1652737 62045.346905
1652738 62045.347322
1652739 62045.347738
1652740 62045.348155
1652741 62045.348572
1652742 62045.348988
1652743 62045.349405
1652744 62045.349822
1652745 62045.350238
1652746 62045.350655
1652747 62045.351072
1652748 62045.351488
1652749 62045.351905
1659307 62053.187274
1659308 62053.187691
1659309 62053.188108
1659310 62053.188524
1659311 62053.188941
1659312 62053.189358
1659313 62053.189774
1659314 62053.190191
1659315 62053.190608
1659316 62053.191024
1659317 62053.191441
1659318 62053.191858
1659319 62053.192274
1659320 62053.192691
1659321 62053.193108
1659322 62053.193524
1659323 62053.193941
1659324 62053.194358
1659325 62053.194774
1659326 62053.195191
1661667 62056.200113
1661668 62056.20053
1661669 62056.200947
1661670 62056.201363
1661671 62056.20178
1661672 62056.202197
1661673 62056.202613
1661674 62056.20303
1661675 62056.203447
1661676 62056.203863
1661677 62056.20428
1661678 62056.204697
1661679 62056.205113
1661680 62056.20553
1661681 62056.205947
1661682 62056.206363
1661683 62056.20678
1661684 62056.207197
1661685 62056.207613
1661686 62056.20803
1668521 62067.150908
1668522 62067.151325
1668523 62067.151741
1668524 62067.152158
1668525 62067.152575
1668526 62067.152991
1668527 62067.153408
1668528 62067.153825
1668529 62067.154241
1668530 62067.154658
1668531 62067.155075
1668532 62067.155491
1668533 62067.155908
1668534 62067.156325
1668535 62067.156741
1668536 62067.157158
1668537 62067.157575
1668538 62067.157991
1668539 62067.158408
1668540 62067.158825
1670644 62070.152435
1670645 62070.152852
1670646 62070.153269
1670647 62070.153685
1670648 62070.154102
1670649 62070.154519
1670650 62070.154935
1670651 62070.155352
1670652 62070.155769
1670653 62070.156185
1670654 62070.156602
1670655 62070.157019
1670656 62070.157435
1670657 62070.157852
1670658 62070.158269
1670659 62070.158685
1670660 62070.159102
1670661 62070.159519
1670662 62070.159935
1670663 62070.160352
1677584 62082.271412
1677585 62082.271828
1677586 62082.272245
1677587 62082.272662
1677588 62082.273078
1677589 62082.273495
1677590 62082.273912
1677591 62082.274328
1677592 62082.274745
1677593 62082.275162
1677594 62082.275578
1677595 62082.275995
1677596 62082.276412
1677597 62082.276828
1677598 62082.277245
1677599 62082.277662
1677600 62082.278078
1677601 62082.278495
1677602 62082.278912
1677603 62082.279328
1679493 62086.115089
1679494 62086.115505
1679495 62086.115922
1679496 62086.116339
1679497 62086.116755
1679498 62086.117172
1679499 62086.117589
1679500 62086.118005
1679501 62086.118422
1679502 62086.118839
1679503 62086.119255
1679504 62086.119672
1679505 62086.120089
1679506 62086.120505
1679507 62086.120922
1679508 62086.121339
1679509 62086.121755
1679510 62086.122172
1679511 62086.122589
1679512 62086.123005
1687644 62098.092489
1687645 62098.092906
1687646 62098.093323
1687647 62098.093739
1687648 62098.094156
1687649 62098.094573
1687650 62098.094989
1687651 62098.095406
1687652 62098.095823
1687653 62098.096239
1687654 62098.096656
1687655 62098.097073
1687656 62098.097489
1687657 62098.097906
1687658 62098.098323
1687659 62098.098739
1687660 62098.099156
1687661 62098.099573
1687662 62098.099989
1687663 62098.100406
1689645 62101.083338
1689646 62101.083755
1689647 62101.084171
1689648 62101.084588
1689649 62101.085005
1689650 62101.085421
1689651 62101.085838
1689652 62101.086255
1689653 62101.086671
1689654 62101.087088
1689655 62101.087505
1689656 62101.087921
1689657 62101.088338
1689658 62101.088755
1689659 62101.089171
1689660 62101.089588
1689661 62101.090005
1689662 62101.090421
1689663 62101.090838
1689664 62101.091255
1695873 62111.152814
1695874 62111.15323
1695875 62111.153647
1695876 62111.154064
1695877 62111.15448
1695878 62111.154897
1695879 62111.155314
1695880 62111.15573
1695881 62111.156147
1695882 62111.156564
1695883 62111.15698
1695884 62111.157397
1695885 62111.157814
1695886 62111.15823
1695887 62111.158647
1695888 62111.159064
1695889 62111.15948
1695890 62111.159897
1695891 62111.160314
1695892 62111.16073
1697960 62114.153615
1697961 62114.154032
1697962 62114.154448
1697963 62114.154865
1697964 62114.155282
1697965 62114.155698
1697966 62114.156115
1697967 62114.156532
1697968 62114.156948
1697969 62114.157365
1697970 62114.157782
1697971 62114.158198
1697972 62114.158615
1697973 62114.159032
1697974 62114.159448
1697975 62114.159865
1697976 62114.160282
1697977 62114.160698
1697978 62114.161115
1697979 62114.161532
1699970 62117.154952
1699971 62117.155368
1699972 62117.155785
1699973 62117.156202
1699974 62117.156618
1699975 62117.157035
1699976 62117.157452
1699977 62117.157868
1699978 62117.158285
1699979 62117.158702
1699980 62117.159118
1699981 62117.159535
1699982 62117.159952
1699983 62117.160368
1699984 62117.160785
1699985 62117.161202
1699986 62117.161618
1699987 62117.162035
1699988 62117.162452
1699989 62117.162868
1707200 62128.11277
1707201 62128.113186
1707202 62128.113603
1707203 62128.11402
1707204 62128.114436
1707205 62128.114853
1707206 62128.11527
1707207 62128.115686
1707208 62128.116103
1707209 62128.11652
1707210 62128.116936
1707211 62128.117353
1707212 62128.11777
1707213 62128.118186
1707214 62128.118603
1707215 62128.11902
1707216 62128.119436
1707217 62128.119853
1707218 62128.12027
1707219 62128.120686
1709234 62131.112887
1709235 62131.113304
1709236 62131.11372
1709237 62131.114137
1709238 62131.114554
1709239 62131.11497
1709240 62131.115387
1709241 62131.115804
1709242 62131.11622
1709243 62131.116637
1709244 62131.117054
1709245 62131.11747
1709246 62131.117887
1709247 62131.118304
1709248 62131.11872
1709249 62131.119137
1709250 62131.119554
1709251 62131.11997
1709252 62131.120387
1709253 62131.120804
