obsHistID expMJD
664607 60567.244111
664608 60567.244527
664609 60567.244944
664610 60567.245361
664611 60567.245777
664612 60567.246194
664613 60567.246611
664614 60567.247027
664615 60567.247444
664616 60567.247861
664617 60567.248277
664618 60567.248694
664619 60567.249111
664620 60567.249527
664621 60567.249944
664622 60567.250361
664623 60567.250777
664624 60567.251194
664625 60567.251611
664626 60567.252027
664627 60567.252444
664628 60567.252861
664629 60567.253277
664630 60567.253694
664631 60567.254111
664632 60567.254527
671708 60578.295556
671709 60578.295973
671710 60578.296389
671711 60578.296806
671712 60578.297223
671713 60578.297639
671714 60578.298056
671715 60578.298473
671716 60578.298889
671717 60578.299306
671718 60578.299723
671719 60578.300139
671720 60578.300556
671721 60578.300973
671722 60578.301389
671723 60578.301806
671724 60578.302223
671725 60578.302639
671726 60578.303056
671727 60578.303473
671728 60578.303889
671729 60578.304306
671730 60578.304723
671731 60578.305139
671732 60578.305556
671733 60578.305973
674154 60581.198851
674155 60581.199267
674156 60581.199684
674157 60581.200101
674158 60581.200517
674159 60581.200934
674160 60581.201351
674161 60581.201767
674162 60581.202184
674163 60581.202601
674164 60581.203017
674165 60581.203434
674166 60581.203851
674167 60581.204267
674168 60581.204684
674169 60581.205101
674170 60581.205517
674171 60581.205934
674172 60581.206351
674173 60581.206767
674174 60581.207184
674175 60581.207601
674176 60581.208017
674177 60581.208434
674178 60581.208851
674179 60581.209267
684518 60593.189171
684519 60593.189588
684520 60593.190004
684521 60593.190421
684522 60593.190838
684523 60593.191254
684524 60593.191671
684525 60593.192088
684526 60593.192504
684527 60593.192921
684528 60593.193338
684529 60593.193754
684530 60593.194171
684531 60593.194588
684532 60593.195004
684533 60593.195421
684534 60593.195838
684535 60593.196254
684536 60593.196671
684537 60593.197088
684538 60593.197504
684539 60593.197921
684540 60593.198338
684541 60593.198754
684542 60593.199171
684543 60593.199588
686519 60596.202943
686520 60596.20336
686521 60596.203777
686522 60596.204193
686523 60596.20461
686524 60596.205027
686525 60596.205443
686526 60596.20586
686527 60596.206277
686528 60596.206693
686529 60596.20711
686530 60596.207527
686531 60596.207943
686532 60596.20836
686533 60596.208777
686534 60596.209193
686535 60596.20961
686536 60596.210027
686537 60596.210443
686538 60596.21086
686539 60596.211277
686540 60596.211693
686541 60596.21211
686542 60596.212527
686543 60596.212943
686544 60596.21336
693920 60605.158976
693921 60605.159392
693922 60605.159809
693923 60605.160226
693924 60605.160642
693925 60605.161059
693926 60605.161476
693927 60605.161892
693928 60605.162309
693929 60605.162726
693930 60605.163142
693931 60605.163559
693932 60605.163976
693933 60605.164392
693934 60605.164809
693935 60605.165226
693936 60605.165642
693937 60605.166059
693938 60605.166476
693939 60605.166892
693940 60605.167309
693941 60605.167726
693942 60605.168142
693943 60605.168559
693944 60605.168976
693945 60605.169392
696296 60608.151733
696297 60608.15215
696298 60608.152567
696299 60608.152983
696300 60608.1534
696301 60608.153817
696302 60608.154233
696303 60608.15465
696304 60608.155067
696305 60608.155483
696306 60608.1559
696307 60608.156317
696308 60608.156733
696309 60608.15715
696310 60608.157567
696311 60608.157983
696312 60608.1584
696313 60608.158817
696314 60608.159233
696315 60608.15965
696316 60608.160067
696317 60608.160483
696318 60608.1609
696319 60608.161317
696320 60608.161733
696321 60608.16215
698671 60611.143703
698672 60611.14412
698673 60611.144536
698674 60611.144953
698675 60611.14537
698676 60611.145786
698677 60611.146203
698678 60611.14662
698679 60611.147036
698680 60611.147453
698681 60611.14787
698682 60611.148286
698683 60611.148703
698684 60611.14912
698685 60611.149536
698686 60611.149953
698687 60611.15037
698688 60611.150786
698689 60611.151203
698690 60611.15162
698691 60611.152036
698692 60611.152453
698693 60611.15287
698694 60611.153286
698695 60611.153703
698696 60611.15412
704795 60621.147297
704796 60621.147714
704797 60621.14813
704798 60621.148547
704799 60621.148964
704800 60621.14938
704801 60621.149797
704802 60621.150214
704803 60621.15063
704804 60621.151047
704805 60621.151464
704806 60621.15188
704807 60621.152297
704808 60621.152714
704809 60621.15313
704810 60621.153547
704811 60621.153964
704812 60621.15438
704813 60621.154797
704814 60621.155214
704815 60621.15563
704816 60621.156047
704817 60621.156464
704818 60621.15688
704819 60621.157297
704820 60621.157714
706972 60624.103104
706973 60624.103521
706974 60624.103938
706975 60624.104354
706976 60624.104771
706977 60624.105188
706978 60624.105604
706979 60624.106021
706980 60624.106438
706981 60624.106854
706982 60624.107271
706983 60624.107688
706984 60624.108104
706985 60624.108521
706986 60624.108938
706987 60624.109354
706988 60624.109771
706989 60624.110188
706990 60624.110604
706991 60624.111021
706992 60624.111438
706993 60624.111854
706994 60624.112271
706995 60624.112688
706996 60624.113104
706997 60624.113521
709697 60627.301092
709698 60627.301508
709699 60627.301925
709700 60627.302342
709701 60627.302758
709702 60627.303175
709703 60627.303592
709704 60627.304008
709705 60627.304425
709706 60627.304842
709707 60627.305258
709708 60627.305675
709709 60627.306092
709710 60627.306508
709711 60627.306925
709712 60627.307342
709713 60627.307758
709714 60627.308175
709715 60627.308592
709716 60627.309008
709717 60627.309425
709718 60627.309842
709719 60627.310258
709720 60627.310675
709721 60627.311092
709722 60627.311508
712931 60632.060994
712932 60632.06141
712933 60632.061827
712934 60632.062244
712935 60632.06266
712936 60632.063077
712937 60632.063494
712938 60632.06391
712939 60632.064327
712940 60632.064744
712941 60632.06516
712942 60632.065577
712943 60632.065994
712944 60632.06641
712945 60632.066827
712946 60632.067244
712947 60632.06766
712948 60632.068077
712949 60632.068494
712950 60632.06891
712951 60632.069327
712952 60632.069744
712953 60632.07016
712954 60632.070577
712955 60632.070994
712956 60632.07141
715166 60635.067858
715167 60635.068274
715168 60635.068691
715169 60635.069108
715170 60635.069524
715171 60635.069941
715172 60635.070358
715173 60635.070774
715174 60635.071191
715175 60635.071608
715176 60635.072024
715177 60635.072441
715178 60635.072858
715179 60635.073274
715180 60635.073691
715181 60635.074108
715182 60635.074524
715183 60635.074941
715184 60635.075358
715185 60635.075774
715186 60635.076191
715187 60635.076608
715188 60635.077024
715189 60635.077441
715190 60635.077858
715191 60635.078274
716633 60640.071375
716634 60640.071792
716635 60640.072209
716636 60640.072625
716637 60640.073042
716638 60640.073459
716639 60640.073875
716640 60640.074292
716641 60640.074709
716642 60640.075125
716643 60640.075542
716644 60640.075959
716645 60640.076375
716646 60640.076792
716647 60640.077209
716648 60640.077625
716649 60640.078042
716650 60640.078459
716651 60640.078875
716652 60640.079292
716653 60640.079709
716654 60640.080125
716655 60640.080542
716656 60640.080959
716657 60640.081375
716658 60640.081792
724693 60651.158457
724694 60651.158874
724695 60651.159291
724696 60651.159707
724697 60651.160124
724698 60651.160541
724699 60651.160957
724700 60651.161374
724701 60651.161791
724702 60651.162207
724703 60651.162624
724704 60651.163041
724705 60651.163457
724706 60651.163874
724707 60651.164291
724708 60651.164707
724709 60651.165124
724710 60651.165541
724711 60651.165957
724712 60651.166374
724713 60651.166791
724714 60651.167207
724715 60651.167624
724716 60651.168041
724717 60651.168457
724718 60651.168874
726664 60654.08068
726665 60654.081097
726666 60654.081513
726667 60654.08193
726668 60654.082347
726669 60654.082763
726670 60654.08318
726671 60654.083597
726672 60654.084013
726673 60654.08443
726674 60654.084847
726675 60654.085263
726676 60654.08568
726677 60654.086097
726678 60654.086513
726679 60654.08693
726680 60654.087347
726681 60654.087763
726682 60654.08818
726683 60654.088597
726684 60654.089013
726685 60654.08943
726686 60654.089847
726687 60654.090263
726688 60654.09068
726689 60654.091097
732220 60662.166064
732221 60662.16648
732222 60662.166897
732223 60662.167314
732224 60662.16773
732225 60662.168147
732226 60662.168564
732227 60662.16898
732228 60662.169397
732229 60662.169814
732230 60662.17023
732231 60662.170647
732232 60662.171064
732233 60662.17148
732234 60662.171897
732235 60662.172314
732236 60662.17273
732237 60662.173147
732238 60662.173564
732239 60662.17398
732240 60662.174397
732241 60662.174814
732242 60662.17523
732243 60662.175647
732244 60662.176064
732245 60662.17648
734147 60665.084682
734148 60665.085099
734149 60665.085516
734150 60665.085932
734151 60665.086349
734152 60665.100654
734153 60665.101667
734154 60665.102109
734155 60665.102539
734156 60665.102969
734157 60665.103399
734158 60665.103829
734159 60665.104259
734160 60665.104689
734161 60665.105119
734162 60665.105549
734163 60665.105979
734164 60665.106408
734165 60665.106838
734166 60665.107268
734167 60665.107697
734168 60665.108127
734169 60665.108557
734170 60665.108986
734171 60665.109416
734172 60665.109845
736194 60668.100286
736195 60668.100703
736196 60668.10112
736197 60668.101536
736198 60668.101953
736199 60668.10237
736200 60668.102786
736201 60668.103203
736202 60668.10362
736203 60668.104036
736204 60668.104453
736205 60668.10487
736206 60668.105286
736207 60668.105703
736208 60668.10612
736209 60668.106536
736210 60668.106953
736211 60668.10737
736212 60668.107786
736213 60668.108203
736214 60668.10862
736215 60668.109036
736216 60668.109453
736217 60668.10987
736218 60668.110286
736219 60668.110703
